School,Year,Rank,Postcode,State Overall Score,Total Enrolments,ICSEA,Suburb,Longitude,Latitude,Sector,Gender,Religion
Lake Joondalup Baptist College,2018,55,6027,94,1361,1105,Joondalup,115.7614206,-31.73747504,Non-government,Co-ed,Baptist
Bunbury John Calvin School,2018,56,6229,94,91,1035,Carey Park,115.64956000000001,-33.350970000000004,Non-government,Co-ed,Christian
St George's Anglican Grammar School,2018,57,6000,94,289,1148,Perth,115.8570957,-31.95409073,Non-government,Co-ed,Anglican
John Septimus Roe Anglican Community School,2018,58,6061,94,1711,1070,Mirrabooka,115.8567055,-31.85936631,Non-government,Co-ed,Anglican
Great Southern Grammar,2018,59,6330,94,734,1075,Lower Kalgan,117.9707332,-34.94755539,Non-government,Co-ed,Christian
Corpus Christi College,2018,60,6150,94,1271,1098,Bateman,115.84290559999998,-32.05699614,Non-government,Co-ed,Catholic
Woodvale Secondary College,2018,61,6026,93,1409,1064,Woodvale,115.7994712,-31.79154969,Government,Co-ed,Secular
Peter Carnley Anglican Community School,2018,62,6170,93,928,1056,Wellard,115.8149145,-32.25710348,Non-government,Co-ed,Anglican
Tranby College,2018,63,6171,93,776,1066,Baldivis,115.8002428,-32.3405703,Non-government,Co-ed,Uniting
St Norbert College,2018,64,6107,93,879,1044,Queens Park,115.9403443,-32.00436432,Non-government,Co-ed,Catholic
St Stephen's School - Duncraig,2018,65,6023,93,2053,1118,Duncraig,115.7806424,-31.8192748,Non-government,Co-ed,Christian
Christian Brothers' College,2018,66,6160,93,826,1089,Fremantle,115.7533646,-32.05178739,Non-government,Boys,Catholic
Peter Moyes Anglican Community School,2018,67,6030,93,1352,1073,Mindarie,115.7075982,-31.67541576,Non-government,Co-ed,Anglican
Living Waters Lutheran College,2018,68,6169,93,754,1039,Warnbro,115.7544169,-32.34307717,Non-government,Co-ed,Lutheran
Como Secondary College,2018,69,6152,93,820,1074,Como,115.8711551,-32.00366439,Government,Co-ed,Secular
Cornerstone Christian College,2018,70,6280,92,352,1052,Busselton,115.3229807,-33.67026207,Non-government,Co-ed,Christian
St Brigid's College,2018,71,6076,92,963,1048,Lesmurdie,116.05206640000002,-31.99663035,Non-government,Girls,Catholic
Georgiana Molloy Anglican School,2018,72,6280,92,1147,1072,Busselton,115.3815495,-33.6606425,Non-government,Co-ed,Anglican
Swan Valley Anglican Community School,2018,73,6069,92,1043,1045,Aveley,115.98545159999998,-31.79434482,Non-government,Co-ed,Anglican
Prendiville Catholic College,2018,74,6027,92,1086,1077,Ocean Reef,115.7396844,-31.75468355,Non-government,Co-ed,Catholic
Heritage College Perth,2018,75,6058,92,107,1028,Forrestfield,116.01964479999998,-31.98220269,Non-government,Co-ed,Christian
Australian Christian College - Southlands,2018,76,6330,92,462,1034,Albany,117.9227056,-34.99550802,Non-government,Co-ed,Christian
Bunbury Senior High School,2018,77,6230,92,956,1019,Bunbury,115.6326077,-33.32746917,Government,Co-ed,Secular
Mazenod College,2018,78,6076,92,834,1067,Lesmurdie,116.0388409,-32.006679,Non-government,Boys,Catholic
Margaret River Senior High School,2018,79,6285,92,1026,1037,Margaret River,115.0746714,-33.95431827,Government,Co-ed,Secular
Ellenbrook Christian College,2018,80,6069,91,491,1043,Ellenbrook,115.959178,-31.786783000000003,Non-government,Co-ed,Christian
Swan Christian College,2018,81,6056,91,1510,1064,Middle Swan,116.0117533,-31.85830659,Non-government,Co-ed,Christian
St Joseph's College,2018,82,6330,91,543,1033,Albany,117.902192,-34.997944,Non-government,Co-ed,Catholic
Exmouth District High School,2018,83,6707,91,443,1016,Exmouth,114.1242962,-21.93316002,Government,Co-ed,Secular
Mater Dei College,2018,84,6027,91,834,1055,Edgewater,115.7765193,-31.76466034,Non-government,Co-ed,Catholic
Grace Christian School,2018,85,6230,91,618,1058,Bunbury,115.6810759,-33.33832794,Non-government,Co-ed,Christian
John Forrest Secondary College,2018,86,6062,91,1136,1025,Morley,115.90089,-31.90416352,Government,Co-ed,Secular
Seton Catholic College,2018,87,6163,91,1019,1038,Samson,115.7933707,-32.07269529,Non-government,Co-ed,Catholic
Australian Islamic College - Kewdale,2018,88,6105,91,761,985,Kewdale,115.9325273,-31.97999061,Non-government,Co-ed,Islam
Mandurah Baptist College,2018,89,6180,90,1174,1051,Lakelands,115.7601182,-32.47830702,Non-government,Co-ed,Baptist
Ashdale Secondary College,2018,90,6065,90,1597,1030,Darch,115.8414952,-31.81162275,Government,Co-ed,Secular
St Mary Mackillop College,2018,91,6280,90,1326,1045,Busselton,115.3302509,-33.66260748,Non-government,Co-ed,Catholic
John Wollaston Anglican Community School,2018,92,6111,90,897,1054,Camillo,116.007834,-32.104726,Non-government,Co-ed,Anglican
Bunbury Catholic College,2018,93,6230,90,1415,1035,Bunbury,115.6614239,-33.34342203,Non-government,Co-ed,Catholic
