School,Year,Rank,Median ATAR,No. eligible Yr 12 students,No. Students with an ATAR,Percentage of students with an ATAR,Suburb,Longitude,Latitude,Sector,Gender,Religion
Perth Modern School,2017,1,95.9,223,222,99.55,Subiaco,115.8363958,-31.94506602,Government,Co-ed,Secular
St Hilda's Anglican School for Girls,2017,2,93.6,142,133,93.66,Mosman Park,115.767812,-32.005047,Non-government,Girls,Anglican
Christ Church Grammar School,2017,3,92.45,182,159,87.36,Claremont,115.7769868,-31.98546117,Non-government,Boys,Anglican
Penrhos College,2017,4,91.2,139,119,85.61,Como,115.8725394,-31.99743072,Non-government,Girls,Uniting
St Mary's Anglican Girls' School,2017,5,90.95,174,157,90.23,Karrinyup,115.766244,-31.87697112,Non-government,Girls,Anglican
Santa Maria College,2017,6,89.9,166,125,75.3,Attadale,115.795823,-32.018614,Non-government,Girls,Catholic
John XXIII College,2017,7,89.8,161,140,86.96,Mount Claremont,115.7847988,-31.9599189,Non-government,Co-ed,Catholic
Manjimup Senior High School,2017,8,89.6,94,28,29.79,Manjimup,116.133228,-34.233842,Government,Co-ed,Secular
Presbyterian Ladies' College,2017,8,89.6,116,111,95.69,Peppermint Grove,115.764906,-31.993592,Non-government,Girls,Uniting
Carmel School,2017,10,89.55,38,34,89.47,Dianella,115.8620749,-31.89910743,Non-government,Co-ed,Jewish
Perth College,2017,11,89.45,137,120,87.59,Mount Lawley,115.8754809,-31.93117853,Non-government,Girls,Catholic
Hale School,2017,12,89.3,187,172,91.98,Wembley Downs,115.7837828,-31.91232249,Non-government,Boys,Anglican
Willetton Senior High School,2017,13,89.15,395,272,68.86,Willetton,115.8792246,-32.06131317,Government,Co-ed,Secular
Iona Presentation College,2017,14,89.1,149,115,77.18,Mosman Park,115.76773490000002,-32.00852636,Non-government,Girls,Catholic
Rossmoyne Senior High School,2017,15,88.95,349,288,82.52,Rossmoyne,115.8705457,-32.04626472,Government,Co-ed,Secular
Shenton College,2017,16,88.8,287,211,73.52,Shenton Park,115.803008,-31.95969986,Government,Co-ed,Secular
All Saints' College,2017,17,88.65,131,120,91.6,Bull Creek,115.867023,-32.04946998,Non-government,Co-ed,Anglican
St Norbert College,2017,18,87.6,126,51,40.48,Queens Park,115.9403443,-32.00436432,Non-government,Co-ed,Catholic
Methodist Ladies' College,2017,19,87.5,143,137,95.8,Claremont,115.7755403,-31.98701169,Non-government,Girls,Methodist
John Calvin Christian College,2017,20,87.35,42,31,73.81,Armadale,116.0066034,-32.14876453,Non-government,Co-ed,Christian
Ursula Frayne Catholic College,2017,21,87.0,145,89,61.38,Victoria Park,115.8990335,-31.97297817,Non-government,Co-ed,Catholic
Trinity College,2017,22,86.65,182,131,71.98,East Perth,115.88257659999998,-31.96013472,Non-government,Boys,Catholic
Churchlands Senior High School,2017,23,86.6,336,226,67.26,Churchlands,115.7899902,-31.91728978,Government,Co-ed,Secular
Sacred Heart College,2017,24,86.45,227,155,68.28,Sorrento,115.74657,-31.82737166,Non-government,Co-ed,Catholic
Applecross Senior High School,2017,25,86.15,229,158,69.0,Ardross,115.83509,-32.029376,Government,Co-ed,Secular
Swan Valley Anglican Community School,2017,26,85.95,61,29,47.54,Aveley,115.98545159999998,-31.79434482,Non-government,Co-ed,Anglican
Scotch College,2017,27,85.8,184,159,86.41,Swanbourne,115.7731945,-31.98113329,Non-government,Boys,Christian
Lynwood Senior High School,2017,28,85.7,225,41,18.22,Parkwood,115.9161296,-32.04190909,Government,Co-ed,Secular
John Curtin College of the Arts,2017,29,85.15,220,170,77.27,Fremantle,115.7562238,-32.04863279,Government,Co-ed,Secular
Great Southern Grammar,2017,30,85.0,83,59,71.08,Lower Kalgan,117.9707332,-34.94755539,Non-government,Co-ed,Christian
Bunbury Cathedral Grammar School,2017,31,84.9,93,78,83.87,Gelorup,115.63864,-33.404668,Non-government,Co-ed,Christian
Wesley College,2017,32,84.85,156,124,79.49,South Perth,115.865934,-31.97995555,Non-government,Boys,Christian
Mercedes College,2017,33,84.3,151,130,86.09,Perth,115.8670832,-31.95623304,Non-government,Girls,Catholic
Chisholm Catholic College,2017,34,84.1,295,187,63.39,Bedford,115.90056470000002,-31.91151257,Non-government,Co-ed,Catholic
Kolbe Catholic College,2017,35,83.75,168,75,44.64,Rockingham,115.7539727,-32.27997384,Non-government,Co-ed,Catholic
Greenwood College,2017,36,83.55,124,31,25.0,Greenwood,115.7914439,-31.82628484,Government,Co-ed,Secular
