School,Year,Rank,Median ATAR,No. eligible Yr 12 students,No. Students with an ATAR,Percentage of students with an ATAR,Suburb,Longitude,Latitude,Sector,Gender,Religion
Duncraig Senior High School,2017,37,83.45,189,92,48.68,Duncraig,115.767131,-31.82190527,Government,Co-ed,Secular
Carine Senior High School,2017,38,83.2,185,102,55.14,Carine,115.775848,-31.85299735,Government,Co-ed,Secular
St Mark's Anglican Community School,2017,39,83.1,163,124,76.07,Hillarys,115.7428728,-31.79848743,Non-government,Co-ed,Anglican
Corpus Christi College,2017,40,82.85,207,146,70.53,Bateman,115.84290559999998,-32.05699614,Non-government,Co-ed,Catholic
Lake Joondalup Baptist College,2017,41,82.6,137,92,67.15,Joondalup,115.7614206,-31.73747504,Non-government,Co-ed,Baptist
Georgiana Molloy Anglican School,2017,42,82.4,69,45,65.22,Busselton,115.3815495,-33.6606425,Non-government,Co-ed,Anglican
Woodvale Secondary College,2017,43,82.3,219,99,45.21,Woodvale,115.7994712,-31.79154969,Government,Co-ed,Secular
Christian Brothers' College,2017,44,82.15,129,72,55.81,Fremantle,115.7533646,-32.05178739,Non-government,Boys,Catholic
Cape Naturaliste College,2017,45,82.0,74,28,37.84,Vasse,115.2438891,-33.67693545,Government,Co-ed,Secular
Prendiville Catholic College,2017,45,82.0,158,107,67.72,Ocean Reef,115.7396844,-31.75468355,Non-government,Co-ed,Catholic
Swan Christian College,2017,47,81.85,173,79,45.66,Middle Swan,116.0117533,-31.85830659,Non-government,Co-ed,Christian
Denmark Senior High School,2017,48,81.55,44,22,50.0,Denmark,117.3645842,-34.95741408,Government,Co-ed,Secular
John Septimus Roe Anglican Community School,2017,48,81.55,166,111,66.87,Mirrabooka,115.8567055,-31.85936631,Non-government,Co-ed,Anglican
Ocean Reef Senior High School,2017,50,81.4,152,56,36.84,Ocean Reef,115.7389749,-31.75879833,Government,Co-ed,Secular
Bunbury Catholic College,2017,51,81.2,193,100,51.81,Bunbury,115.6614239,-33.34342203,Non-government,Co-ed,Catholic
Aquinas College,2017,52,80.85,175,124,70.86,Salter Point,115.8617538,-32.02617519,Non-government,Boys,Catholic
Guildford Grammar School,2017,52,80.85,107,83,77.57,Guildford,115.981892,-31.894036,Non-government,Co-ed,Anglican
Mazenod College,2017,52,80.85,125,73,58.4,Lesmurdie,116.0388409,-32.006679,Non-government,Boys,Catholic
Margaret River Senior High School,2017,55,80.75,105,49,46.67,Margaret River,115.0746714,-33.95431827,Government,Co-ed,Secular
Ashdale Secondary College,2017,56,80.65,205,76,37.07,Darch,115.8414952,-31.81162275,Government,Co-ed,Secular
John Wollaston Anglican Community School,2017,56,80.65,61,29,47.54,Camillo,116.007834,-32.104726,Non-government,Co-ed,Anglican
Tranby College,2017,56,80.65,92,43,46.74,Baldivis,115.8002428,-32.3405703,Non-government,Co-ed,Uniting
Melville Senior High School,2017,59,80.6,176,87,49.43,Melville,115.8054613,-32.04631125,Government,Co-ed,Secular
Esperance Senior High School,2017,60,80.55,125,35,28.0,Esperance,121.868258,-33.86017872,Government,Co-ed,Secular
Peter Carnley Anglican Community School,2017,61,80.45,47,26,55.32,Wellard,115.8149145,-32.25710348,Non-government,Co-ed,Anglican
Servite College,2017,62,80.1,127,80,62.99,Tuart Hill,115.8336415,-31.90270449,Non-government,Co-ed,Catholic
Broome Senior High School,2017,63,80.05,101,41,40.59,Broome,122.2323264,-17.95614273,Government,Co-ed,Secular
Frederick Irwin Anglican School,2017,64,80.0,155,130,83.87,Mandurah,115.7530802,-32.50869435,Non-government,Co-ed,Anglican
Comet Bay College,2017,65,79.9,212,54,25.47,Secret Harbour,115.7629996,-32.415805199999994,Government,Co-ed,Secular
Mandurah Catholic College,2017,65,79.9,170,91,53.53,Mandurah,115.73828600000002,-32.54895945,Non-government,Co-ed,Catholic
Kennedy Baptist College,2017,67,79.6,183,110,60.11,Murdoch,115.829647,-32.073356,Non-government,Co-ed,Baptist
St Joseph's College,2017,68,79.55,32,21,65.63,Albany,117.902192,-34.997944,Non-government,Co-ed,Catholic
La Salle College,2017,69,79.5,206,93,45.15,Middle Swan,116.004411,-31.87856979,Non-government,Co-ed,Catholic
Mount Lawley Senior High School,2017,70,79.45,225,160,71.11,Mount Lawley,115.8697493,-31.92122258,Government,Co-ed,Secular
Lesmurdie Senior High School,2017,71,79.35,177,88,49.72,Lesmurdie,116.0516431,-32.01252075,Government,Co-ed,Secular
St Brigid's College,2017,72,79.3,101,61,60.4,Lesmurdie,116.05206640000002,-31.99663035,Non-government,Girls,Catholic
Carey Baptist College,2017,73,79.25,120,79,65.83,Harrisdale,115.9355423,-32.11159158,Non-government,Co-ed,Christian
Kingsway Christian College,2017,74,79.2,92,79,85.87,Darch,115.8374044,-31.81156717,Non-government,Co-ed,Christian
Providence Christian College,2017,74,79.2,76,33,43.42,Southern River,115.93669409999998,-32.09974606,Non-government,Co-ed,Christian
Ellenbrook Secondary College,2017,76,79.1,162,22,13.58,Ellenbrook,115.9642807,-31.78554916,Government,Co-ed,Secular
Newman College,2017,77,79.0,158,107,67.72,Churchlands,115.7873551,-31.9231958,Non-government,Co-ed,Catholic
St Stephen's School - Carramar,2017,77,79.0,94,59,62.77,Carramar,115.78828,-31.71704,Non-government,Co-ed,Christian
Leeming Senior High School,2017,79,78.8,138,62,44.93,Leeming,115.8564902,-32.07467304,Government,Co-ed,Secular
Canning Vale College,2017,80,78.6,254,95,37.4,Canning Vale,115.9227838,-32.08291838,Government,Co-ed,Secular
Nagle Catholic College,2017,80,78.6,164,82,50.0,Geraldton,114.60999309999998,-28.77776964,Non-government,Co-ed,Catholic
Governor Stirling Senior High School,2017,82,78.1,134,42,31.34,Woodbridge,115.9888056,-31.88893826,Government,Co-ed,Secular
Albany Senior High School,2017,83,77.75,138,80,57.97,Albany,117.8917733,-35.02044765,Government,Co-ed,Secular
Aranmore Catholic College,2017,83,77.75,93,38,40.86,Leederville,115.8431695,-31.92706854,Non-government,Co-ed,Catholic
St Stephen's School - Duncraig,2017,85,77.4,123,111,90.24,Duncraig,115.7806424,-31.8192748,Non-government,Co-ed,Christian
Seton Catholic College,2017,86,77.15,163,95,58.28,Samson,115.7933707,-32.07269529,Non-government,Co-ed,Catholic
John Tonkin College,2017,87,76.95,105,23,21.9,Mandurah,115.756358,-32.51758689,Government,Co-ed,Secular
Manea Senior College,2017,88,76.85,248,119,47.98,Bunbury,115.6567975,-33.36775659,Government,Co-ed,Secular
Bunbury Senior High School,2017,89,76.7,102,49,48.04,Bunbury,115.6326077,-33.32746917,Government,Co-ed,Secular
Mercy College,2017,89,76.7,181,96,53.04,Koondoola,115.8575544,-31.84725114,Non-government,Co-ed,Catholic
Eastern Hills Senior High School,2017,91,76.65,98,32,32.65,Mount Helena,116.2200892,-31.87396818,Government,Co-ed,Secular
Eastern Goldfields College,2017,92,76.6,181,48,26.52,Kalgoorlie,121.4753746,-30.75101639,Government,Co-ed,Secular
Australind Senior High School,2017,93,76.55,164,69,42.07,Australind,115.7284365,-33.27665965,Government,Co-ed,Secular
North Albany Senior High School,2017,94,76.05,80,25,31.25,Albany,117.86686740000002,-34.99074882,Government,Co-ed,Secular
St Mary Mackillop College,2017,94,76.05,90,66,73.33,Busselton,115.3302509,-33.66260748,Non-government,Co-ed,Catholic
Peter Moyes Anglican Community School,2017,96,75.9,122,89,72.95,Mindarie,115.7075982,-31.67541576,Non-government,Co-ed,Anglican
Rehoboth Christian College,2017,97,75.75,29,21,72.41,Kenwick,115.977924,-32.03161911,Non-government,Co-ed,Christian
Kalamunda Senior High School,2017,98,75.55,151,59,39.07,Kalamunda,116.0561861,-31.97788079,Government,Co-ed,Secular
Helena College,2017,99,75.3,84,67,79.76,Glen Forrest,116.09144,-31.90747,Government,Co-ed,Secular
Living Waters Lutheran College,2017,100,74.75,58,28,48.28,Warnbro,115.7544169,-32.34307717,Non-government,Co-ed,Lutheran
Irene McCormack Catholic College,2017,101,74.35,99,45,45.45,Butler,115.709449,-31.65406275,Non-government,Co-ed,Catholic
Morley Senior High School,2017,102,74.25,183,108,59.02,Noranda,115.8836692,-31.8737169,Government,Co-ed,Secular
Como Secondary College,2017,103,73.6,106,63,59.43,Como,115.8711551,-32.00366439,Government,Co-ed,Secular
John Paul College,2017,104,73.4,58,40,68.97,Kalgoorlie,121.4787154,-30.76410096,Non-government,Co-ed,Catholic
Australian Islamic College - Kewdale,2017,105,73.1,107,74,69.16,Kewdale,115.9325273,-31.97999061,Non-government,Co-ed,Islam
Mandurah Baptist College,2017,106,72.95,113,71,62.83,Lakelands,115.7601182,-32.47830702,Non-government,Co-ed,Baptist
Atwell College,2017,107,72.75,149,27,18.12,Atwell,115.8641462,-32.14395682,Government,Co-ed,Secular
Emmanuel Catholic College,2017,107,72.75,125,60,48.0,Success,115.8400696,-32.12857818,Non-government,Co-ed,Catholic
Narrogin Senior High School,2017,109,72.5,103,40,38.83,Narrogin,117.1914239,-32.93810289,Government,Co-ed,Secular
Ellenbrook Christian College,2017,110,72.2,55,29,52.73,Ellenbrook,115.959178,-31.786783000000003,Non-government,Co-ed,Christian
Geraldton Grammar School,2017,111,71.9,39,24,61.54,Geraldton,114.621025,-28.76195313,Non-government,Co-ed,Anglican
Warwick Senior High School,2017,112,71.7,97,30,30.93,Warwick,115.8154291,-31.83867535,Government,Co-ed,Secular
Lumen Christi College,2017,113,71.05,167,75,44.91,Martin,116.0120135,-32.06737479,Non-government,Co-ed,Catholic
Langford Islamic College,2017,114,70.8,35,24,68.57,Langford,115.9371583,-32.04605574,Non-government,Co-ed,Islam
Mater Dei College,2017,115,70.75,136,92,67.65,Edgewater,115.7765193,-31.76466034,Non-government,Co-ed,Catholic
Sevenoaks Senior College,2017,116,70.35,194,42,21.65,Cannington,115.94230520000002,-32.01247925,Government,Co-ed,Secular
St Andrew's Grammar,2017,117,69.95,28,20,71.43,Dianella,115.8741054,-31.87118268,Non-government,Co-ed,Greek Orthodox
Geraldton Senior High School,2017,118,69.9,219,36,16.44,Geraldton,114.6117092,-28.78068474,Government,Co-ed,Secular
Newton Moore Senior High School,2017,119,69.7,84,20,23.81,South Bunbury,115.6354214,-33.359211,Government,Co-ed,Secular
Kelmscott Senior High School,2017,120,69.6,193,69,35.75,Kelmscott,116.0110534,-32.12147619,Government,Co-ed,Secular
Balcatta Senior High School,2017,121,69.0,90,39,43.33,Balcatta,115.8122429,-31.87551716,Government,Co-ed,Secular
Mindarie Senior College,2017,122,68.9,380,133,35.0,Mindarie,115.7060496,-31.6769792,Non-government,Co-ed,Catholic
Woodthorpe School,2017,123,68.7,34,23,67.65,Willetton,115.90172,-32.056540000000005,Non-government,Co-ed,Brethren Christian
Court Grammar School,2017,124,68.4,55,31,56.36,Mundijong,115.99128059999998,-32.26965841,Non-government,Co-ed,Anglican
Northam Senior High School,2017,125,68.05,89,35,39.33,Northam,116.6676491,-31.64725593,Government,Co-ed,Secular
John Forrest Secondary College,2017,126,67.0,143,55,38.46,Morley,115.90089,-31.90416352,Government,Co-ed,Secular
Baldivis Secondary College,2017,127,66.9,206,59,28.64,Baldivis,115.828418,-32.334099,Government,Co-ed,Secular
Belridge Secondary College,2017,127,66.9,127,33,25.98,Beldon,115.7631759,-31.77038385,Government,Co-ed,Secular
Quinns Baptist College,2017,129,66.6,53,32,60.38,Mindarie,115.71019640000002,-31.67618587,Non-government,Co-ed,Baptist
Dalyellup College,2017,130,65.05,74,20,27.03,Dalyellup,115.6257673,-33.40385496,Government,Co-ed,Secular
Kent Street Senior High School,2017,131,63.9,129,60,46.51,East Victoria Park,115.8926602,-31.98570399,Government,Co-ed,Secular
Karratha Senior High School,2017,132,63.7,126,23,18.25,Karratha,116.8241249,-20.74695822,Government,Co-ed,Secular
Ballajura Community College,2017,133,63.4,210,77,36.67,Ballajura,115.8934345,-31.84474671,Government,Co-ed,Secular
Lakeland Senior High School,2017,134,61.35,97,32,32.99,South Lake,115.8459137,-32.10905514,Government,Co-ed,Secular
Halls Head College,2017,135,61.15,183,55,30.05,Halls Head,115.6942404,-32.55444963,Government,Co-ed,Secular
Hampton Senior High School,2017,136,60.35,120,36,30.0,Morley,115.92693,-31.89085713,Government,Co-ed,Secular
Darling Range Sports College,2017,137,60.3,115,22,19.13,Forrestfield,116.0108597,-31.97566063,Government,Co-ed,Secular
Busselton Senior High School,2017,138,59.9,88,28,31.82,Busselton,115.3250971,-33.65757720000001,Government,Co-ed,Secular
Wanneroo Secondary College,2017,139,59.75,197,61,30.96,Wanneroo,115.8151333,-31.7578766,Government,Co-ed,Secular
Thornlie Senior High School,2017,140,59.7,139,38,27.34,Thornlie,115.959641,-32.06627622,Government,Co-ed,Secular
Dianella Secondary College,2017,141,58.55,75,26,34.67,Dianella,115.8549027,-31.87818209,Government,Co-ed,Secular
Butler College,2017,142,57.25,214,71,33.18,Butler,115.7087008,-31.65166367,Government,Co-ed,Secular
Warnbro Community High School,2017,143,56.35,99,21,21.21,Warnbro,115.75909640000002,-32.34556923,Government,Co-ed,Secular
Safety Bay Senior High School,2017,144,56.05,130,31,23.85,Safety Bay,115.7409641,-32.30328609,Government,Co-ed,Secular
Southern River College,2017,145,55.4,96,24,25.0,Gosnells,115.979918,-32.08559751,Government,Co-ed,Secular
Hedland Senior High School,2017,146,52.45,90,29,32.22,South Hedland,118.598616,-20.39878872,Government,Co-ed,Secular
