School,Year,Rank,Median ATAR,No. eligible Yr 12 students,No. Students with an ATAR,Percentage of students with an ATAR,Suburb,Longitude,Latitude,Sector,Gender,Religion
Perth Modern School,2019,1,96.75,241,238,98.76,Subiaco,115.8363958,-31.94506602,Government,Co-ed,Secular
Hale School,2019,2,92.85,201,177,88.06,Wembley Downs,115.7837828,-31.91232249,Non-government,Boys,Anglican
Christ Church Grammar School,2019,3,92.5,199,178,89.45,Claremont,115.7769868,-31.98546117,Non-government,Boys,Anglican
St Mary's Anglican Girls' School,2019,4,91.15,161,137,85.09,Karrinyup,115.766244,-31.87697112,Non-government,Girls,Anglican
Presbyterian Ladies' College,2019,5,90.75,123,116,94.31,Peppermint Grove,115.764906,-31.993592,Non-government,Girls,Uniting
Methodist Ladies' College,2019,6,89.95,140,134,95.71,Claremont,115.7755403,-31.98701169,Non-government,Girls,Methodist
Perth College,2019,7,89.85,135,123,91.11,Mount Lawley,115.8754809,-31.93117853,Non-government,Girls,Catholic
St Hilda's Anglican School for Girls,2019,8,89.7,129,122,94.57,Mosman Park,115.767812,-32.005047,Non-government,Girls,Anglican
Ursula Frayne Catholic College,2019,9,88.9,147,88,59.86,Victoria Park,115.8990335,-31.97297817,Non-government,Co-ed,Catholic
Shenton College,2019,10,88.55,308,225,73.05,Shenton Park,115.803008,-31.95969986,Government,Co-ed,Secular
Penrhos College,2019,11,88.3,118,103,87.29,Como,115.8725394,-31.99743072,Non-government,Girls,Uniting
Rossmoyne Senior High School,2019,12,88.05,311,241,77.49,Rossmoyne,115.8705457,-32.04626472,Government,Co-ed,Secular
Willetton Senior High School,2019,13,87.55,349,257,73.64,Willetton,115.8792246,-32.06131317,Government,Co-ed,Secular
Sacred Heart College,2019,14,87.45,220,145,65.91,Sorrento,115.74657,-31.82737166,Non-government,Co-ed,Catholic
Santa Maria College,2019,14,87.45,180,142,78.89,Attadale,115.795823,-32.018614,Non-government,Girls,Catholic
Iona Presentation College,2019,16,87.25,149,108,72.48,Mosman Park,115.76773490000002,-32.00852636,Non-government,Girls,Catholic
Wesley College,2019,17,86.95,149,120,80.54,South Perth,115.865934,-31.97995555,Non-government,Boys,Christian
John XXIII College,2019,18,86.55,177,147,83.05,Mount Claremont,115.7847988,-31.9599189,Non-government,Co-ed,Catholic
All Saints' College,2019,19,86.5,138,113,81.88,Bull Creek,115.867023,-32.04946998,Non-government,Co-ed,Anglican
Scotch College,2019,19,86.5,155,138,89.03,Swanbourne,115.7731945,-31.98113329,Non-government,Boys,Christian
Kennedy Baptist College,2019,21,86.2,166,87,52.41,Murdoch,115.829647,-32.073356,Non-government,Co-ed,Baptist
Chisholm Catholic College,2019,22,85.5,264,174,65.91,Bedford,115.90056470000002,-31.91151257,Non-government,Co-ed,Catholic
Applecross Senior High School,2019,23,85.2,227,158,69.6,Ardross,115.83509,-32.029376,Government,Co-ed,Secular
Mercedes College,2019,24,85.05,152,106,69.74,Perth,115.8670832,-31.95623304,Non-government,Girls,Catholic
Churchlands Senior High School,2019,25,84.85,395,268,67.85,Churchlands,115.7899902,-31.91728978,Government,Co-ed,Secular
John Curtin College of the Arts,2019,26,84.6,232,146,62.93,Fremantle,115.7562238,-32.04863279,Government,Co-ed,Secular
Trinity College,2019,27,84.2,172,125,72.67,East Perth,115.88257659999998,-31.96013472,Non-government,Boys,Catholic
Servite College,2019,28,83.6,171,82,47.95,Tuart Hill,115.8336415,-31.90270449,Non-government,Co-ed,Catholic
St Norbert College,2019,29,83.4,116,49,42.24,Queens Park,115.9403443,-32.00436432,Non-government,Co-ed,Catholic
St Mary Mackillop College,2019,30,83.15,102,49,48.04,Busselton,115.3302509,-33.66260748,Non-government,Co-ed,Catholic
Providence Christian College,2019,31,83.0,61,28,45.9,Southern River,115.93669409999998,-32.09974606,Non-government,Co-ed,Christian
Carine Senior High School,2019,32,82.95,198,91,45.96,Carine,115.775848,-31.85299735,Government,Co-ed,Secular
Mount Lawley Senior High School,2019,32,82.95,212,152,71.7,Mount Lawley,115.8697493,-31.92122258,Government,Co-ed,Secular
Aquinas College,2019,34,82.65,168,107,63.69,Salter Point,115.8617538,-32.02617519,Non-government,Boys,Catholic
Carmel School,2019,35,82.35,36,33,91.67,Dianella,115.8620749,-31.89910743,Non-government,Co-ed,Jewish
St Stephen's School - Carramar,2019,35,82.35,202,124,61.39,Carramar,115.78828,-31.71704,Non-government,Co-ed,Christian
Christian Brothers' College,2019,37,82.3,126,66,52.38,Fremantle,115.7533646,-32.05178739,Non-government,Boys,Catholic
Peter Moyes Anglican Community School,2019,37,82.3,126,76,60.32,Mindarie,115.7075982,-31.67541576,Non-government,Co-ed,Anglican
Lynwood Senior High School,2019,39,82.2,277,31,11.19,Parkwood,115.9161296,-32.04190909,Government,Co-ed,Secular
Australian Islamic College - Kewdale,2019,40,81.95,108,68,62.96,Kewdale,115.9325273,-31.97999061,Non-government,Co-ed,Islam
Corpus Christi College,2019,40,81.95,211,142,67.3,Bateman,115.84290559999998,-32.05699614,Non-government,Co-ed,Catholic
Duncraig Senior High School,2019,40,81.95,178,85,47.75,Duncraig,115.767131,-31.82190527,Government,Co-ed,Secular
Leeming Senior High School,2019,40,81.95,160,75,46.88,Leeming,115.8564902,-32.07467304,Government,Co-ed,Secular
Bunbury Catholic College,2019,44,81.85,170,90,52.94,Bunbury,115.6614239,-33.34342203,Non-government,Co-ed,Catholic
John Septimus Roe Anglican Community School,2019,44,81.85,163,93,57.06,Mirrabooka,115.8567055,-31.85936631,Non-government,Co-ed,Anglican
Prendiville Catholic College,2019,46,81.8,140,78,55.71,Ocean Reef,115.7396844,-31.75468355,Non-government,Co-ed,Catholic
Australind Senior High School,2019,47,81.35,159,42,26.42,Australind,115.7284365,-33.27665965,Government,Co-ed,Secular
John Calvin Christian College,2019,47,81.35,51,36,70.59,Armadale,116.0066034,-32.14876453,Non-government,Co-ed,Christian
Newman College,2019,47,81.35,182,112,61.54,Churchlands,115.7873551,-31.9231958,Non-government,Co-ed,Catholic
Bunbury Cathedral Grammar School,2019,50,81.05,80,70,87.5,Gelorup,115.63864,-33.404668,Non-government,Co-ed,Christian
Langford Islamic College,2019,51,81.0,29,22,75.86,Langford,115.9371583,-32.04605574,Non-government,Co-ed,Islam
Comet Bay College,2019,52,80.9,232,43,18.53,Secret Harbour,115.7629996,-32.415805199999994,Government,Co-ed,Secular
Holy Cross College,2019,53,80.55,71,31,43.66,Ellenbrook,115.973832,-31.773097,Non-government,Co-ed,Catholic
Georgiana Molloy Anglican School,2019,54,80.45,89,58,65.17,Busselton,115.3815495,-33.6606425,Non-government,Co-ed,Anglican
South Coast Baptist College,2019,54,80.45,58,25,43.1,Waikiki,115.7575046,-32.31535966,Non-government,Co-ed,Christian
Kolbe Catholic College,2019,56,80.2,180,72,40.0,Rockingham,115.7539727,-32.27997384,Non-government,Co-ed,Catholic
Frederick Irwin Anglican School,2019,57,80.1,133,103,77.44,Mandurah,115.7530802,-32.50869435,Non-government,Co-ed,Anglican
Nagle Catholic College,2019,58,80.05,144,69,47.92,Geraldton,114.60999309999998,-28.77776964,Non-government,Co-ed,Catholic
Ocean Reef Senior High School,2019,59,79.5,147,58,39.46,Ocean Reef,115.7389749,-31.75879833,Government,Co-ed,Secular
Canning Vale College,2019,60,79.4,240,82,34.17,Canning Vale,115.9227838,-32.08291838,Government,Co-ed,Secular
Lesmurdie Senior High School,2019,60,79.4,136,60,44.12,Lesmurdie,116.0516431,-32.01252075,Government,Co-ed,Secular
Lake Joondalup Baptist College,2019,62,79.3,133,90,67.67,Joondalup,115.7614206,-31.73747504,Non-government,Co-ed,Baptist
Melville Senior High School,2019,63,79.1,208,95,45.67,Melville,115.8054613,-32.04631125,Government,Co-ed,Secular
Ashdale Secondary College,2019,64,78.9,248,85,34.27,Darch,115.8414952,-31.81162275,Government,Co-ed,Secular
John Forrest Secondary College,2019,65,78.7,160,52,32.5,Morley,115.90089,-31.90416352,Government,Co-ed,Secular
Carey Baptist College,2019,66,78.6,122,74,60.66,Harrisdale,115.9355423,-32.11159158,Non-government,Co-ed,Christian
Seton Catholic College,2019,66,78.6,177,94,53.11,Samson,115.7933707,-32.07269529,Non-government,Co-ed,Catholic
