School,Year,Rank,Median ATAR,No. eligible Yr 12 students,No. Students with an ATAR,Percentage of students with an ATAR,Suburb,Longitude,Latitude,Sector,Gender,Religion
Emmanuel Catholic College,2019,68,78.55,139,54,38.85,Success,115.8400696,-32.12857818,Non-government,Co-ed,Catholic
Esperance Senior High School,2019,68,78.55,114,46,40.35,Esperance,121.868258,-33.86017872,Government,Co-ed,Secular
Guildford Grammar School,2019,68,78.55,153,116,75.82,Guildford,115.981892,-31.894036,Non-government,Co-ed,Anglican
Geraldton Grammar School,2019,71,78.15,44,31,70.45,Geraldton,114.621025,-28.76195313,Non-government,Co-ed,Anglican
Margaret River Senior High School,2019,72,77.65,134,56,41.79,Margaret River,115.0746714,-33.95431827,Government,Co-ed,Secular
Eastern Goldfields College,2019,73,77.4,167,45,26.95,Kalgoorlie,121.4753746,-30.75101639,Government,Co-ed,Secular
St Mark's Anglican Community School,2019,73,77.4,155,111,71.61,Hillarys,115.7428728,-31.79848743,Non-government,Co-ed,Anglican
Mandurah Baptist College,2019,75,77.0,101,62,61.39,Lakelands,115.7601182,-32.47830702,Non-government,Co-ed,Baptist
Mandurah Catholic College,2019,75,77.0,159,64,40.25,Mandurah,115.73828600000002,-32.54895945,Non-government,Co-ed,Catholic
Manjimup Senior High School,2019,77,76.7,99,30,30.3,Manjimup,116.133228,-34.233842,Government,Co-ed,Secular
Cape Naturaliste College,2019,78,76.65,100,37,37.0,Vasse,115.2438891,-33.67693545,Government,Co-ed,Secular
Mercy College,2019,79,76.4,184,72,39.13,Koondoola,115.8575544,-31.84725114,Non-government,Co-ed,Catholic
St Brigid's College,2019,79,76.4,84,54,64.29,Lesmurdie,116.05206640000002,-31.99663035,Non-government,Girls,Catholic
Baldivis Secondary College,2019,81,76.3,199,34,17.09,Baldivis,115.828418,-32.334099,Government,Co-ed,Secular
North Albany Senior High School,2019,82,76.2,89,31,34.83,Albany,117.86686740000002,-34.99074882,Government,Co-ed,Secular
Helena College,2019,83,75.9,66,57,86.36,Glen Forrest,116.09144,-31.90747,Government,Co-ed,Secular
Bunbury Senior High School,2019,84,75.85,99,38,38.38,Bunbury,115.6326077,-33.32746917,Government,Co-ed,Secular
Governor Stirling Senior High School,2019,85,75.8,119,30,25.21,Woodbridge,115.9888056,-31.88893826,Government,Co-ed,Secular
Great Southern Grammar,2019,86,75.7,83,50,60.24,Lower Kalgan,117.9707332,-34.94755539,Non-government,Co-ed,Christian
Mazenod College,2019,87,75.6,109,50,45.87,Lesmurdie,116.0388409,-32.006679,Non-government,Boys,Catholic
Lumen Christi College,2019,88,75.15,119,51,42.86,Martin,116.0120135,-32.06737479,Non-government,Co-ed,Catholic
Morley Senior High School,2019,88,75.15,155,83,53.55,Noranda,115.8836692,-31.8737169,Government,Co-ed,Secular
Belmont City College,2019,90,74.9,122,30,24.59,Belmont,115.9344344,-31.95889136,Government,Co-ed,Secular
Mater Dei College,2019,90,74.9,125,71,56.8,Edgewater,115.7765193,-31.76466034,Non-government,Co-ed,Catholic
Woodvale Secondary College,2019,92,74.8,184,90,48.91,Woodvale,115.7994712,-31.79154969,Government,Co-ed,Secular
John Paul College,2019,93,74.5,55,37,67.27,Kalgoorlie,121.4787154,-30.76410096,Non-government,Co-ed,Catholic
Greenwood College,2019,94,74.1,118,47,39.83,Greenwood,115.7914439,-31.82628484,Government,Co-ed,Secular
La Salle College,2019,95,73.95,211,84,39.81,Middle Swan,116.004411,-31.87856979,Non-government,Co-ed,Catholic
Mindarie Senior College,2019,96,73.45,353,107,30.31,Mindarie,115.7060496,-31.6769792,Non-government,Co-ed,Catholic
Denmark Senior High School,2019,97,73.4,49,29,59.18,Denmark,117.3645842,-34.95741408,Government,Co-ed,Secular
Quinns Baptist College,2019,98,73.15,65,25,38.46,Mindarie,115.71019640000002,-31.67618587,Non-government,Co-ed,Baptist
Albany Senior High School,2019,99,73.1,130,64,49.23,Albany,117.8917733,-35.02044765,Government,Co-ed,Secular
Kingsway Christian College,2019,100,72.6,96,81,84.38,Darch,115.8374044,-31.81156717,Non-government,Co-ed,Christian
Peter Carnley Anglican Community School,2019,101,72.55,50,24,48.0,Wellard,115.8149145,-32.25710348,Non-government,Co-ed,Anglican
Ellenbrook Christian College,2019,102,72.5,50,24,48.0,Ellenbrook,115.959178,-31.786783000000003,Non-government,Co-ed,Christian
Swan Christian College,2019,103,72.35,166,62,37.35,Middle Swan,116.0117533,-31.85830659,Non-government,Co-ed,Christian
Narrogin Senior High School,2019,104,72.25,72,33,45.83,Narrogin,117.1914239,-32.93810289,Government,Co-ed,Secular
Living Waters Lutheran College,2019,105,72.2,71,27,38.03,Warnbro,115.7544169,-32.34307717,Non-government,Co-ed,Lutheran
Como Secondary College,2019,106,72.1,96,57,59.38,Como,115.8711551,-32.00366439,Government,Co-ed,Secular
Kalamunda Senior High School,2019,107,72.05,140,55,39.29,Kalamunda,116.0561861,-31.97788079,Government,Co-ed,Secular
Tranby College,2019,108,71.95,78,40,51.28,Baldivis,115.8002428,-32.3405703,Non-government,Co-ed,Uniting
Sevenoaks Senior College,2019,109,71.8,174,43,24.71,Cannington,115.94230520000002,-32.01247925,Government,Co-ed,Secular
Karratha Senior High School,2019,110,71.35,134,30,22.39,Karratha,116.8241249,-20.74695822,Government,Co-ed,Secular
Irene McCormack Catholic College,2019,111,71.25,115,63,54.78,Butler,115.709449,-31.65406275,Non-government,Co-ed,Catholic
Ellenbrook Secondary College,2019,112,71.2,185,43,23.24,Ellenbrook,115.9642807,-31.78554916,Government,Co-ed,Secular
Kent Street Senior High School,2019,113,70.95,103,47,45.63,East Victoria Park,115.8926602,-31.98570399,Government,Co-ed,Secular
Atwell College,2019,114,70.85,170,37,21.76,Atwell,115.8641462,-32.14395682,Government,Co-ed,Secular
Manea Senior College,2019,115,70.45,291,107,36.77,Bunbury,115.6567975,-33.36775659,Government,Co-ed,Secular
St Joseph's College,2019,115,70.45,39,26,66.67,Albany,117.902192,-34.997944,Non-government,Co-ed,Catholic
Eastern Hills Senior High School,2019,117,69.75,118,39,33.05,Mount Helena,116.2200892,-31.87396818,Government,Co-ed,Secular
Balcatta Senior High School,2019,118,69.6,85,24,28.24,Balcatta,115.8122429,-31.87551716,Government,Co-ed,Secular
Southern River College,2019,119,69.55,103,23,22.33,Gosnells,115.979918,-32.08559751,Government,Co-ed,Secular
Kearnan College,2019,120,69.25,37,24,64.86,Manjimup,116.1416408,-34.24140477,Non-government,Co-ed,Catholic
Aranmore Catholic College,2019,121,68.1,84,41,48.81,Leederville,115.8431695,-31.92706854,Non-government,Co-ed,Catholic
OneSchool Global WA,2019,121,68.1,37,24,64.86,Willetton,115.9017197,-32.05654231,Non-government,Co-ed,Brethren Christian
Butler College,2019,123,67.75,182,33,18.13,Butler,115.7087008,-31.65166367,Government,Co-ed,Secular
Thornlie Senior High School,2019,124,67.3,124,39,31.45,Thornlie,115.959641,-32.06627622,Government,Co-ed,Secular
Ballajura Community College,2019,125,67.0,212,68,32.08,Ballajura,115.8934345,-31.84474671,Government,Co-ed,Secular
Belridge Secondary College,2019,126,66.4,132,44,33.33,Beldon,115.7631759,-31.77038385,Government,Co-ed,Secular
Geraldton Senior High School,2019,127,66.25,201,37,18.41,Geraldton,114.6117092,-28.78068474,Government,Co-ed,Secular
Kelmscott Senior High School,2019,128,65.95,185,62,33.51,Kelmscott,116.0110534,-32.12147619,Government,Co-ed,Secular
Broome Senior High School,2019,129,65.25,96,42,43.75,Broome,122.2323264,-17.95614273,Government,Co-ed,Secular
Wanneroo Secondary College,2019,130,64.4,134,35,26.12,Wanneroo,115.8151333,-31.7578766,Government,Co-ed,Secular
Fremantle College,2019,131,63.9,97,26,26.8,Beaconsfield,115.76798,-32.06791,Government,Co-ed,Secular
Northam Senior High School,2019,132,63.65,93,26,27.96,Northam,116.6676491,-31.64725593,Government,Co-ed,Secular
Dalyellup College,2019,133,63.55,76,22,28.95,Dalyellup,115.6257673,-33.40385496,Government,Co-ed,Secular
Bullsbrook College,2019,134,62.85,88,20,22.73,Bullsbrook,116.033179,-31.66171848,Government,Co-ed,Secular
Darling Range Sports College,2019,135,61.95,100,21,21.0,Forrestfield,116.0108597,-31.97566063,Government,Co-ed,Secular
Hampton Senior High School,2019,136,61.9,110,29,26.36,Morley,115.92693,-31.89085713,Government,Co-ed,Secular
Halls Head College,2019,137,61.2,167,29,17.37,Halls Head,115.6942404,-32.55444963,Government,Co-ed,Secular
Warwick Senior High School,2019,138,60.8,77,24,31.17,Warwick,115.8154291,-31.83867535,Government,Co-ed,Secular
Byford Secondary College,2019,139,60.0,134,45,33.58,Byford,116.0018793,-32.22343162,Government,Co-ed,Secular
Hedland Senior High School,2019,140,55.95,80,21,26.25,South Hedland,118.598616,-20.39878872,Government,Co-ed,Secular
Merredin College,2019,141,55.2,54,23,42.59,Merredin,118.2849815,-31.48808967,Government,Co-ed,Secular
Joseph Banks Secondary College,2019,142,41.85,171,68,39.77,Banksia Grove,115.7965911,-31.69867412,Government,Co-ed,Secular
