School,Year,Rank,Postcode,State Overall Score,Total Enrolments,ICSEA,Suburb,Longitude,Latitude,Sector,Gender,Religion
Perth Modern School,2019,1,6008,100,1418,1239,Subiaco,115.8363958,-31.94506602,Government,Co-ed,Secular
St Hilda's Anglican School for Girls,2019,2,6012,100,1087,1197,Mosman Park,115.767812,-32.005047,Non-government,Girls,Anglican
Christ Church Grammar School,2019,3,6010,100,1646,1180,Claremont,115.7769868,-31.98546117,Non-government,Boys,Anglican
Rossmoyne Senior High School,2019,4,6148,100,2188,1121,Rossmoyne,115.8705457,-32.04626472,Government,Co-ed,Secular
St Mary's Anglican Girls' School,2019,5,6018,100,1414,1158,Karrinyup,115.766244,-31.87697112,Non-government,Girls,Anglican
Hale School,2019,6,6019,99,1568,1165,Wembley Downs,115.7837828,-31.91232249,Non-government,Boys,Anglican
All Saints' College,2019,7,6149,99,1254,1154,Bull Creek,115.867023,-32.04946998,Non-government,Co-ed,Anglican
Shenton College,2019,8,6008,99,2215,1159,Shenton Park,115.803008,-31.95969986,Government,Co-ed,Secular
Willetton Senior High School,2019,9,6155,99,2410,1117,Willetton,115.8792246,-32.06131317,Government,Co-ed,Secular
Presbyterian Ladies' College,2019,10,6011,99,1057,1111,Peppermint Grove,115.764906,-31.993592,Non-government,Girls,Uniting
Perth College,2019,11,6050,99,1013,1153,Mount Lawley,115.8754809,-31.93117853,Non-government,Girls,Catholic
Methodist Ladies' College,2019,12,6010,99,1056,1150,Claremont,115.7755403,-31.98701169,Non-government,Girls,Methodist
Langford Islamic College,2019,13,6147,99,936,1098,Langford,115.9371583,-32.04605574,Non-government,Co-ed,Islam
International School of Western Australia,2019,14,6015,99,308,1182,Doubleview,115.77762,-31.8985,Government,Co-ed,Secular
Rehoboth Christian College,2019,15,6107,98,697,1114,Kenwick,115.977924,-32.03161911,Non-government,Co-ed,Christian
John Curtin College of the Arts,2019,16,6160,98,1688,1120,Fremantle,115.7562238,-32.04863279,Government,Co-ed,Secular
Applecross Senior High School,2019,17,6153,98,1602,1111,Ardross,115.83509,-32.029376,Government,Co-ed,Secular
Frederick Irwin Anglican School,2019,18,6210,98,1507,1088,Mandurah,115.7530802,-32.50869435,Non-government,Co-ed,Anglican
Churchlands Senior High School,2019,19,6018,98,2851,1118,Churchlands,115.7899902,-31.91728978,Government,Co-ed,Secular
St George's Anglican Grammar School,2019,20,6000,98,337,1148,Perth,115.8570957,-31.95409073,Non-government,Co-ed,Anglican
Wesley College,2019,21,6151,98,1171,1143,South Perth,115.865934,-31.97995555,Non-government,Boys,Christian
Kingsway Christian College,2019,22,6065,98,1309,1121,Darch,115.8374044,-31.81156717,Non-government,Co-ed,Christian
John XXIII College,2019,23,6010,97,1478,1170,Mount Claremont,115.7847988,-31.9599189,Non-government,Co-ed,Catholic
Leeming Senior High School,2019,24,6149,98,1088,1071,Leeming,115.8564902,-32.07467304,Government,Co-ed,Secular
Scotch College,2019,25,6010,97,1430,1165,Swanbourne,115.7731945,-31.98113329,Non-government,Boys,Christian
