School,Year,Rank,Postcode,State Overall Score,Total Enrolments,ICSEA,Suburb,Longitude,Latitude,Sector,Gender,Religion
Iona Presentation College,2019,26,6012,97,1136,1124,Mosman Park,115.76773490000002,-32.00852636,Non-government,Girls,Catholic
Penrhos College,2019,27,6152,97,1008,1051,Como,115.8725394,-31.99743072,Non-government,Girls,Uniting
Mount Lawley Senior High School,2019,28,6050,97,1774,1101,Mount Lawley,115.8697493,-31.92122258,Government,Co-ed,Secular
Carmel School,2019,29,6059,97,456,1137,Dianella,115.8620749,-31.89910743,Non-government,Co-ed,Jewish
St Andrew's Grammar,2019,30,6059,97,357,1078,Dianella,115.8741054,-31.87118268,Non-government,Co-ed,Greek Orthodox
Santa Maria College,2019,31,6156,97,1290,1117,Attadale,115.795823,-32.018614,Non-government,Girls,Catholic
Bunbury Cathedral Grammar School,2019,32,6230,97,679,1081,Gelorup,115.63864,-33.404668,Non-government,Co-ed,Christian
Great Southern Grammar,2019,33,6330,96,711,1075,Lower Kalgan,117.9707332,-34.94755539,Non-government,Co-ed,Christian
Trinity College,2019,34,6004,96,1205,1113,East Perth,115.88257659999998,-31.96013472,Non-government,Boys,Catholic
Woodthorpe School,2019,35,6155,96,255,983,Willetton,115.90172,-32.056540000000005,Non-government,Co-ed,Brethren Christian
St Mark's Anglican Community School,2019,36,6025,96,1696,1119,Hillarys,115.7428728,-31.79848743,Non-government,Co-ed,Anglican
Mercedes College,2019,37,6000,96,853,1116,Perth,115.8670832,-31.95623304,Non-government,Girls,Catholic
School of Isolated and Distance Education,2019,38,6007,96,409,1075,Leederville,115.8419534,-31.93553952,Government,Co-ed,Secular
Chisholm Catholic College,2019,39,6052,96,1665,1070,Bedford,115.90056470000002,-31.91151257,Non-government,Co-ed,Catholic
Helena College,2019,40,6071,96,716,1110,Glen Forrest,116.09144,-31.90747,Government,Co-ed,Secular
Aquinas College,2019,41,6152,96,1325,1023,Salter Point,115.8617538,-32.02617519,Non-government,Boys,Catholic
Sacred Heart College,2019,42,6020,95,1412,1109,Sorrento,115.74657,-31.82737166,Non-government,Co-ed,Catholic
Ursula Frayne Catholic College,2019,43,6100,95,1333,1097,Victoria Park,115.8990335,-31.97297817,Non-government,Co-ed,Catholic
John Calvin School,2019,44,6330,95,203,1024,Albany,117.871159,-35.003739,Non-government,Co-ed,Christian
St Stephen's School - Duncraig,2019,45,6023,95,1941,1118,Duncraig,115.7806424,-31.8192748,Non-government,Co-ed,Christian
Duncraig Senior High School,2019,46,6023,95,1515,1073,Duncraig,115.767131,-31.82190527,Government,Co-ed,Secular
Kennedy Baptist College,2019,47,6150,95,1124,1097,Murdoch,115.829647,-32.073356,Non-government,Co-ed,Baptist
Melville Senior High School,2019,48,6156,95,1401,1065,Melville,115.8054613,-32.04631125,Government,Co-ed,Secular
Corpus Christi College,2019,49,6150,95,1256,1098,Bateman,115.84290559999998,-32.05699614,Non-government,Co-ed,Catholic
Narembeen District High School,2019,50,6369,95,131,1006,Narembeen,118.3912322,-32.06303073,Government,Co-ed,Secular
Como Secondary College,2019,51,6152,95,833,1074,Como,115.8711551,-32.00366439,Government,Co-ed,Secular
Geraldton Grammar School,2019,52,6530,94,477,1068,Geraldton,114.621025,-28.76195313,Non-government,Co-ed,Anglican
Christian Brothers' College,2019,53,6160,94,812,1089,Fremantle,115.7533646,-32.05178739,Non-government,Boys,Catholic
Divine Mercy College,2019,54,6164,94,380,1056,Yangebup,115.8251697,-32.12468637,Non-government,Co-ed,Catholic
Carine Senior High School,2019,55,6020,94,1798,1088,Carine,115.775848,-31.85299735,Government,Co-ed,Secular
Christmas Island District High School,2019,56,6798,94,245,1015,Christmas Island,105.6686,-10.4352,Government,Co-ed,Secular
Georgiana Molloy Anglican School,2019,57,6280,94,1137,1072,Busselton,115.3815495,-33.6606425,Non-government,Co-ed,Anglican
Perth Waldorf School,2019,58,6163,94,471,1105,Bibra Lake,115.8176585,-32.09219046,Government,Co-ed,Secular
Providence Christian College,2019,59,6110,94,775,1090,Southern River,115.93669409999998,-32.09974606,Non-government,Co-ed,Christian
Carey Baptist College,2019,60,6112,94,1357,1097,Harrisdale,115.9355423,-32.11159158,Non-government,Co-ed,Christian
Newman College,2019,61,6018,93,1755,1114,Churchlands,115.7873551,-31.9231958,Non-government,Co-ed,Catholic
Grace Christian School,2019,62,6230,93,556,1058,Bunbury,115.6810759,-33.33832794,Non-government,Co-ed,Christian
John Septimus Roe Anglican Community School,2019,63,6061,93,1643,1070,Mirrabooka,115.8567055,-31.85936631,Non-government,Co-ed,Anglican
Australian Islamic College - Kewdale,2019,64,6105,93,735,985,Kewdale,115.9325273,-31.97999061,Non-government,Co-ed,Islam
Living Waters Lutheran College,2019,65,6169,93,653,1039,Warnbro,115.7544169,-32.34307717,Non-government,Co-ed,Lutheran
Peter Carnley Anglican Community School,2019,66,6170,93,898,1056,Wellard,115.8149145,-32.25710348,Non-government,Co-ed,Anglican
Swan Christian College,2019,67,6056,93,1469,1064,Middle Swan,116.0117533,-31.85830659,Non-government,Co-ed,Christian
Lake Joondalup Baptist College,2019,68,6027,93,1362,1105,Joondalup,115.7614206,-31.73747504,Non-government,Co-ed,Baptist
Prendiville Catholic College,2019,69,6027,93,1119,1077,Ocean Reef,115.7396844,-31.75468355,Non-government,Co-ed,Catholic
Denmark Senior High School,2019,70,6333,93,427,1038,Denmark,117.3645842,-34.95741408,Government,Co-ed,Secular
St Norbert College,2019,71,6107,92,905,1044,Queens Park,115.9403443,-32.00436432,Non-government,Co-ed,Catholic
Lesmurdie Senior High School,2019,72,6076,92,995,1032,Lesmurdie,116.0516431,-32.01252075,Government,Co-ed,Secular
Mazenod College,2019,73,6076,92,841,1067,Lesmurdie,116.0388409,-32.006679,Non-government,Boys,Catholic
Woodvale Secondary College,2019,74,6026,92,1418,1064,Woodvale,115.7994712,-31.79154969,Government,Co-ed,Secular
St Mary Mackillop College,2019,75,6280,92,1342,1045,Busselton,115.3302509,-33.66260748,Non-government,Co-ed,Catholic
St James' Anglican School,2019,76,6038,92,569,1068,Alkimos,115.68637,-31.618541,Non-government,Co-ed,Anglican
Kolbe Catholic College,2019,77,6168,92,1144,1046,Rockingham,115.7539727,-32.27997384,Non-government,Co-ed,Catholic
St Brigid's College,2019,78,6076,92,890,1048,Lesmurdie,116.05206640000002,-31.99663035,Non-government,Girls,Catholic
Ellenbrook Christian College,2019,79,6069,92,467,1043,Ellenbrook,115.959178,-31.786783000000003,Non-government,Co-ed,Christian
Cornerstone Christian College,2019,80,6280,91,362,1052,Busselton,115.3229807,-33.67026207,Non-government,Co-ed,Christian
Quinns Baptist College,2019,81,6030,91,1083,1062,Mindarie,115.71019640000002,-31.67618587,Non-government,Co-ed,Baptist
Canning Vale College,2019,82,6155,91,1484,1030,Canning Vale,115.9227838,-32.08291838,Government,Co-ed,Secular
Ashdale Secondary College,2019,83,6065,91,1680,1030,Darch,115.8414952,-31.81162275,Government,Co-ed,Secular
Harrisdale Senior High School,2019,84,6112,91,879,1041,Harrisdale,115.934521,-32.127736,Government,Co-ed,Secular
John Forrest Secondary College,2019,85,6062,91,1122,1025,Morley,115.90089,-31.90416352,Government,Co-ed,Secular
Peter Moyes Anglican Community School,2019,86,6030,91,1313,1073,Mindarie,115.7075982,-31.67541576,Non-government,Co-ed,Anglican
Mandurah Catholic College,2019,87,6210,91,1633,1040,Mandurah,115.73828600000002,-32.54895945,Non-government,Co-ed,Catholic
Australian Islamic College - Thornlie,2019,88,6108,91,1416,993,Thornlie,115.9611396,-32.05402507,Non-government,Co-ed,Islam
Australian Christian College - Southlands,2019,89,6330,91,564,1034,Albany,117.9227056,-34.99550802,Non-government,Co-ed,Christian
Swan Valley Anglican Community School,2019,90,6069,90,1031,1045,Aveley,115.98545159999998,-31.79434482,Non-government,Co-ed,Anglican
Boyup Brook District High School,2019,91,6244,90,162,1002,Boyup Brook,116.3913376,-33.83634699,Government,Co-ed,Secular
Mater Dei College,2019,92,6027,90,804,1055,Edgewater,115.7765193,-31.76466034,Non-government,Co-ed,Catholic
Emmanuel Catholic College,2019,93,6164,90,1061,1036,Success,115.8400696,-32.12857818,Non-government,Co-ed,Catholic
Emmanuel Christian Community School,2019,94,6064,90,552,980,Girrawheen,115.8482622,-31.84620429,Non-government,Co-ed,Christian
