School,Year,Rank,Postcode,State Overall Score,Total Enrolments,ICSEA,Suburb,Longitude,Latitude,Sector,Gender,Religion
Perth Modern School,2016,1,6008,100,1336,1239,Subiaco,115.8363958,-31.94506602,Government,Co-ed,Secular
Christ Church Grammar School,2016,2,6010,100,1663,1180,Claremont,115.7769868,-31.98546117,Non-government,Boys,Anglican
International School of Western Australia,2016,3,6015,100,235,1182,Doubleview,115.77762,-31.8985,Government,Co-ed,Secular
Hale School,2016,4,6019,100,1486,1165,Wembley Downs,115.7837828,-31.91232249,Non-government,Boys,Anglican
St Mary's Anglican Girls' School,2016,5,6018,99,1385,1158,Karrinyup,115.766244,-31.87697112,Non-government,Girls,Anglican
All Saints' College,2016,6,6149,99,1242,1154,Bull Creek,115.867023,-32.04946998,Non-government,Co-ed,Anglican
Willetton Senior High School,2016,7,6155,99,2287,1117,Willetton,115.8792246,-32.06131317,Government,Co-ed,Secular
Rossmoyne Senior High School,2016,8,6148,99,2093,1121,Rossmoyne,115.8705457,-32.04626472,Government,Co-ed,Secular
Methodist Ladies' College,2016,9,6010,99,1126,1150,Claremont,115.7755403,-31.98701169,Non-government,Girls,Methodist
St Hilda's Anglican School for Girls,2016,10,6012,99,1171,1197,Mosman Park,115.767812,-32.005047,Non-government,Girls,Anglican
Presbyterian Ladies' College,2016,11,6011,99,1101,1111,Peppermint Grove,115.764906,-31.993592,Non-government,Girls,Uniting
Shenton College,2016,12,6008,98,1940,1159,Shenton Park,115.803008,-31.95969986,Government,Co-ed,Secular
Perth College,2016,13,6050,98,1121,1153,Mount Lawley,115.8754809,-31.93117853,Non-government,Girls,Catholic
Scotch College,2016,14,6010,98,1518,1165,Swanbourne,115.7731945,-31.98113329,Non-government,Boys,Christian
Wesley College,2016,15,6151,98,1369,1143,South Perth,115.865934,-31.97995555,Non-government,Boys,Christian
Penrhos College,2016,16,6152,98,1170,1051,Como,115.8725394,-31.99743072,Non-government,Girls,Uniting
Churchlands Senior High School,2016,17,6018,98,2437,1118,Churchlands,115.7899902,-31.91728978,Government,Co-ed,Secular
