School,Year,Rank,Postcode,State Overall Score,Total Enrolments,ICSEA,Suburb,Longitude,Latitude,Sector,Gender,Religion
John Curtin College of the Arts,2016,18,6160,97,1475,1120,Fremantle,115.7562238,-32.04863279,Government,Co-ed,Secular
Carmel School,2016,19,6059,97,463,1137,Dianella,115.8620749,-31.89910743,Non-government,Co-ed,Jewish
Applecross Senior High School,2016,20,6153,97,1475,1111,Ardross,115.83509,-32.029376,Government,Co-ed,Secular
Australian Christian College - Southlands,2016,21,6330,97,229,1034,Albany,117.9227056,-34.99550802,Non-government,Co-ed,Christian
Mount Lawley Senior High School,2016,22,6050,97,1556,1101,Mount Lawley,115.8697493,-31.92122258,Government,Co-ed,Secular
John Calvin School,2016,23,6330,97,216,1024,Albany,117.871159,-35.003739,Non-government,Co-ed,Christian
Ursula Frayne Catholic College,2016,24,6100,97,1306,1097,Victoria Park,115.8990335,-31.97297817,Non-government,Co-ed,Catholic
Bunbury Cathedral Grammar School,2016,25,6230,96,853,1081,Gelorup,115.63864,-33.404668,Non-government,Co-ed,Christian
John XXIII College,2016,26,6010,96,1432,1170,Mount Claremont,115.7847988,-31.9599189,Non-government,Co-ed,Catholic
Santa Maria College,2016,27,6156,96,1236,1117,Attadale,115.795823,-32.018614,Non-government,Girls,Catholic
Heritage College Perth,2016,28,6058,96,101,1028,Forrestfield,116.01964479999998,-31.98220269,Non-government,Co-ed,Christian
Iona Presentation College,2016,29,6012,96,929,1124,Mosman Park,115.76773490000002,-32.00852636,Non-government,Girls,Catholic
Kingsway Christian College,2016,30,6065,96,1295,1121,Darch,115.8374044,-31.81156717,Non-government,Co-ed,Christian
Sacred Heart College,2016,31,6020,96,1398,1109,Sorrento,115.74657,-31.82737166,Non-government,Co-ed,Catholic
Chisholm Catholic College,2016,32,6052,95,1703,1070,Bedford,115.90056470000002,-31.91151257,Non-government,Co-ed,Catholic
Woodthorpe School,2016,33,6155,95,325,983,Willetton,115.90172,-32.056540000000005,Non-government,Co-ed,Brethren Christian
Frederick Irwin Anglican School,2016,34,6210,95,1447,1088,Mandurah,115.7530802,-32.50869435,Non-government,Co-ed,Anglican
Aquinas College,2016,35,6152,95,1318,1023,Salter Point,115.8617538,-32.02617519,Non-government,Boys,Catholic
Langford Islamic College,2016,36,6147,95,810,1098,Langford,115.9371583,-32.04605574,Non-government,Co-ed,Islam
St Andrew's Grammar,2016,37,6059,95,420,1078,Dianella,115.8741054,-31.87118268,Non-government,Co-ed,Greek Orthodox
Helena College,2016,38,6071,95,752,1110,Glen Forrest,116.09144,-31.90747,Government,Co-ed,Secular
Trinity College,2016,39,6004,95,1321,1113,East Perth,115.88257659999998,-31.96013472,Non-government,Boys,Catholic
St Mark's Anglican Community School,2016,40,6025,94,1532,1119,Hillarys,115.7428728,-31.79848743,Non-government,Co-ed,Anglican
Leeming Senior High School,2016,41,6149,94,973,1071,Leeming,115.8564902,-32.07467304,Government,Co-ed,Secular
Alkimos Baptist College,2016,42,6030,94,142,1035,Merriwa,115.7101785,-31.66032819,Non-government,Co-ed,Baptist
Duncraig Senior High School,2016,43,6023,94,1294,1073,Duncraig,115.767131,-31.82190527,Government,Co-ed,Secular
Carine Senior High School,2016,44,6020,94,1385,1088,Carine,115.775848,-31.85299735,Government,Co-ed,Secular
Mercedes College,2016,45,6000,94,966,1116,Perth,115.8670832,-31.95623304,Non-government,Girls,Catholic
Newman College,2016,46,6018,94,1756,1114,Churchlands,115.7873551,-31.9231958,Non-government,Co-ed,Catholic
Rehoboth Christian College,2016,47,6107,93,632,1114,Kenwick,115.977924,-32.03161911,Non-government,Co-ed,Christian
Corpus Christi College,2016,48,6150,93,1340,1098,Bateman,115.84290559999998,-32.05699614,Non-government,Co-ed,Catholic
Great Southern Grammar,2016,49,6330,93,830,1075,Lower Kalgan,117.9707332,-34.94755539,Non-government,Co-ed,Christian
St Stephen's School - Duncraig,2016,50,6023,93,2269,1118,Duncraig,115.7806424,-31.8192748,Non-government,Co-ed,Christian
Providence Christian College,2016,51,6110,93,840,1090,Southern River,115.93669409999998,-32.09974606,Non-government,Co-ed,Christian
Georgiana Molloy Anglican School,2016,52,6280,93,1189,1072,Busselton,115.3815495,-33.6606425,Non-government,Co-ed,Anglican
John Septimus Roe Anglican Community School,2016,53,6061,93,1944,1070,Mirrabooka,115.8567055,-31.85936631,Non-government,Co-ed,Anglican
Divine Mercy College,2016,54,6164,92,396,1056,Yangebup,115.8251697,-32.12468637,Non-government,Co-ed,Catholic
Kennedy Baptist College,2016,55,6150,92,1167,1097,Murdoch,115.829647,-32.073356,Non-government,Co-ed,Baptist
Carey Baptist College,2016,56,6112,92,1373,1097,Harrisdale,115.9355423,-32.11159158,Non-government,Co-ed,Christian
Lake Joondalup Baptist College,2016,57,6027,92,1443,1105,Joondalup,115.7614206,-31.73747504,Non-government,Co-ed,Baptist
Melville Senior High School,2016,58,6156,92,1375,1065,Melville,115.8054613,-32.04631125,Government,Co-ed,Secular
Boyup Brook District High School,2016,59,6244,92,156,1002,Boyup Brook,116.3913376,-33.83634699,Government,Co-ed,Secular
Christian Brothers' College,2016,60,6160,92,849,1089,Fremantle,115.7533646,-32.05178739,Non-government,Boys,Catholic
School of Isolated and Distance Education,2016,61,6007,92,410,1075,Leederville,115.8419534,-31.93553952,Government,Co-ed,Secular
Peter Carnley Anglican Community School,2016,62,6170,91,903,1056,Wellard,115.8149145,-32.25710348,Non-government,Co-ed,Anglican
Woodvale Secondary College,2016,63,6026,91,1463,1064,Woodvale,115.7994712,-31.79154969,Government,Co-ed,Secular
Christmas Island District High School,2016,64,6798,91,265,1015,Christmas Island,105.6686,-10.4352,Government,Co-ed,Secular
Peter Moyes Anglican Community School,2016,65,6030,91,1518,1073,Mindarie,115.7075982,-31.67541576,Non-government,Co-ed,Anglican
Prendiville Catholic College,2016,66,6027,91,1105,1077,Ocean Reef,115.7396844,-31.75468355,Non-government,Co-ed,Catholic
Margaret River Senior High School,2016,67,6285,91,938,1037,Margaret River,115.0746714,-33.95431827,Government,Co-ed,Secular
Bunbury Catholic College,2016,68,6230,91,1370,1035,Bunbury,115.6614239,-33.34342203,Non-government,Co-ed,Catholic
St Norbert College,2016,69,6107,90,890,1044,Queens Park,115.9403443,-32.00436432,Non-government,Co-ed,Catholic
Kalbarri District High School,2016,70,6536,90,220,988,Kalbarri,114.163881,-27.712788,Government,Co-ed,Secular
Tranby College,2016,71,6171,90,884,1066,Baldivis,115.8002428,-32.3405703,Non-government,Co-ed,Uniting
Denmark Senior High School,2016,72,6333,90,401,1038,Denmark,117.3645842,-34.95741408,Government,Co-ed,Secular
