School,Year,Rank,Median ATAR,No. eligible Yr 12 students,No. Students with an ATAR,Percentage of students with an ATAR,Suburb,Longitude,Latitude,Sector,Gender,Religion
John XXIII College,2018,17,87.45,150,121,80.67,Mount Claremont,115.7847988,-31.9599189,Non-government,Co-ed,Catholic
Iona Presentation College,2018,19,87.2,146,105,71.92,Mosman Park,115.76773490000002,-32.00852636,Non-government,Girls,Catholic
Presbyterian Ladies' College,2018,20,86.9,127,115,90.55,Peppermint Grove,115.764906,-31.993592,Non-government,Girls,Uniting
Servite College,2018,21,86.65,146,47,32.19,Tuart Hill,115.8336415,-31.90270449,Non-government,Co-ed,Catholic
Trinity College,2018,22,86.5,187,141,75.4,East Perth,115.88257659999998,-31.96013472,Non-government,Boys,Catholic
John Wollaston Anglican Community School,2018,23,85.65,59,32,54.24,Camillo,116.007834,-32.104726,Non-government,Co-ed,Anglican
Applecross Senior High School,2018,24,85.6,231,170,73.59,Ardross,115.83509,-32.029376,Government,Co-ed,Secular
Sacred Heart College,2018,24,85.6,222,155,69.82,Sorrento,115.74657,-31.82737166,Non-government,Co-ed,Catholic
John Curtin College of the Arts,2018,26,85.25,230,161,70.0,Fremantle,115.7562238,-32.04863279,Government,Co-ed,Secular
St Mark's Anglican Community School,2018,26,85.25,151,126,83.44,Hillarys,115.7428728,-31.79848743,Non-government,Co-ed,Anglican
Geraldton Grammar School,2018,28,85.15,51,31,60.78,Geraldton,114.621025,-28.76195313,Non-government,Co-ed,Anglican
Churchlands Senior High School,2018,29,85.05,352,250,71.02,Churchlands,115.7899902,-31.91728978,Government,Co-ed,Secular
Australian Islamic College - Kewdale,2018,30,84.85,96,50,52.08,Kewdale,115.9325273,-31.97999061,Non-government,Co-ed,Islam
Mazenod College,2018,31,84.65,124,73,58.87,Lesmurdie,116.0388409,-32.006679,Non-government,Boys,Catholic
Prendiville Catholic College,2018,32,84.6,149,88,59.06,Ocean Reef,115.7396844,-31.75468355,Non-government,Co-ed,Catholic
Greenwood College,2018,33,84.55,158,56,35.44,Greenwood,115.7914439,-31.82628484,Government,Co-ed,Secular
Newman College,2018,34,84.4,170,133,78.24,Churchlands,115.7873551,-31.9231958,Non-government,Co-ed,Catholic
St Stephen's School - Carramar,2018,34,84.4,97,49,50.52,Carramar,115.78828,-31.71704,Non-government,Co-ed,Christian
Melville Senior High School,2018,36,84.1,182,85,46.7,Melville,115.8054613,-32.04631125,Government,Co-ed,Secular
Mercedes College,2018,37,84.0,163,128,78.53,Perth,115.8670832,-31.95623304,Non-government,Girls,Catholic
Bunbury Senior High School,2018,38,83.95,115,56,48.7,Bunbury,115.6326077,-33.32746917,Government,Co-ed,Secular
Denmark Senior High School,2018,39,83.55,51,34,66.67,Denmark,117.3645842,-34.95741408,Government,Co-ed,Secular
Aquinas College,2018,40,83.25,174,122,70.11,Salter Point,115.8617538,-32.02617519,Non-government,Boys,Catholic
Carine Senior High School,2018,41,83.2,204,104,50.98,Carine,115.775848,-31.85299735,Government,Co-ed,Secular
St Norbert College,2018,42,83.0,122,39,31.97,Queens Park,115.9403443,-32.00436432,Non-government,Co-ed,Catholic
Chisholm Catholic College,2018,43,82.95,257,170,66.15,Bedford,115.90056470000002,-31.91151257,Non-government,Co-ed,Catholic
Corpus Christi College,2018,44,82.9,198,154,77.78,Bateman,115.84290559999998,-32.05699614,Non-government,Co-ed,Catholic
Lake Joondalup Baptist College,2018,44,82.9,123,82,66.67,Joondalup,115.7614206,-31.73747504,Non-government,Co-ed,Baptist
Kennedy Baptist College,2018,46,82.85,162,108,66.67,Murdoch,115.829647,-32.073356,Non-government,Co-ed,Baptist
Woodvale Secondary College,2018,47,82.8,191,84,43.98,Woodvale,115.7994712,-31.79154969,Government,Co-ed,Secular
Guildford Grammar School,2018,48,82.65,123,101,82.11,Guildford,115.981892,-31.894036,Non-government,Co-ed,Anglican
Margaret River Senior High School,2018,49,82.45,131,66,50.38,Margaret River,115.0746714,-33.95431827,Government,Co-ed,Secular
Australind Senior High School,2018,50,82.15,140,45,32.14,Australind,115.7284365,-33.27665965,Government,Co-ed,Secular
Mercy College,2018,51,82.1,170,73,42.94,Koondoola,115.8575544,-31.84725114,Non-government,Co-ed,Catholic
Christian Brothers' College,2018,52,81.85,128,74,57.81,Fremantle,115.7533646,-32.05178739,Non-government,Boys,Catholic
John Calvin Christian College,2018,53,81.75,63,40,63.49,Armadale,116.0066034,-32.14876453,Non-government,Co-ed,Christian
Esperance Senior High School,2018,54,81.25,110,43,39.09,Esperance,121.868258,-33.86017872,Government,Co-ed,Secular
Leeming Senior High School,2018,55,81.05,164,73,44.51,Leeming,115.8564902,-32.07467304,Government,Co-ed,Secular
Lesmurdie Senior High School,2018,56,80.8,160,72,45.0,Lesmurdie,116.0516431,-32.01252075,Government,Co-ed,Secular
Duncraig Senior High School,2018,57,80.7,184,98,53.26,Duncraig,115.767131,-31.82190527,Government,Co-ed,Secular
Peter Moyes Anglican Community School,2018,58,80.65,123,89,72.36,Mindarie,115.7075982,-31.67541576,Non-government,Co-ed,Anglican
Great Southern Grammar,2018,59,80.6,86,67,77.91,Lower Kalgan,117.9707332,-34.94755539,Non-government,Co-ed,Christian
Mount Lawley Senior High School,2018,59,80.6,240,170,70.83,Mount Lawley,115.8697493,-31.92122258,Government,Co-ed,Secular
Lynwood Senior High School,2018,61,80.55,229,29,12.66,Parkwood,115.9161296,-32.04190909,Government,Co-ed,Secular
Frederick Irwin Anglican School,2018,62,80.4,139,108,77.7,Mandurah,115.7530802,-32.50869435,Non-government,Co-ed,Anglican
Helena College,2018,62,80.4,81,69,85.19,Glen Forrest,116.09144,-31.90747,Government,Co-ed,Secular
Swan Valley Anglican Community School,2018,64,80.35,61,35,57.38,Aveley,115.98545159999998,-31.79434482,Non-government,Co-ed,Anglican
Governor Stirling Senior High School,2018,65,80.2,97,24,24.74,Woodbridge,115.9888056,-31.88893826,Government,Co-ed,Secular
Manea Senior College,2018,66,80.05,223,99,44.39,Bunbury,115.6567975,-33.36775659,Government,Co-ed,Secular
Ashdale Secondary College,2018,67,79.95,241,76,31.54,Darch,115.8414952,-31.81162275,Government,Co-ed,Secular
Manjimup Senior High School,2018,68,79.85,85,23,27.06,Manjimup,116.133228,-34.233842,Government,Co-ed,Secular
Carey Baptist College,2018,69,79.65,138,73,52.9,Harrisdale,115.9355423,-32.11159158,Non-government,Co-ed,Christian
John Septimus Roe Anglican Community School,2018,69,79.65,160,105,65.63,Mirrabooka,115.8567055,-31.85936631,Non-government,Co-ed,Anglican
Mandurah Catholic College,2018,69,79.65,184,72,39.13,Mandurah,115.73828600000002,-32.54895945,Non-government,Co-ed,Catholic
Bunbury Catholic College,2018,72,79.55,171,92,53.8,Bunbury,115.6614239,-33.34342203,Non-government,Co-ed,Catholic
Irene McCormack Catholic College,2018,73,79.45,98,54,55.1,Butler,115.709449,-31.65406275,Non-government,Co-ed,Catholic
Kolbe Catholic College,2018,74,79.35,155,71,45.81,Rockingham,115.7539727,-32.27997384,Non-government,Co-ed,Catholic
Nagle Catholic College,2018,75,79.25,175,80,45.71,Geraldton,114.60999309999998,-28.77776964,Non-government,Co-ed,Catholic
Swan Christian College,2018,76,79.05,180,82,45.56,Middle Swan,116.0117533,-31.85830659,Non-government,Co-ed,Christian
Busselton Senior High School,2018,77,78.95,85,24,28.24,Busselton,115.3250971,-33.65757720000001,Government,Co-ed,Secular
La Salle College,2018,78,78.9,212,82,38.68,Middle Swan,116.004411,-31.87856979,Non-government,Co-ed,Catholic
St Mary Mackillop College,2018,79,78.75,95,56,58.95,Busselton,115.3302509,-33.66260748,Non-government,Co-ed,Catholic
Seton Catholic College,2018,80,78.4,143,69,48.25,Samson,115.7933707,-32.07269529,Non-government,Co-ed,Catholic
Kelmscott Senior High School,2018,81,77.9,199,67,33.67,Kelmscott,116.0110534,-32.12147619,Government,Co-ed,Secular
John Forrest Secondary College,2018,82,77.85,157,47,29.94,Morley,115.90089,-31.90416352,Government,Co-ed,Secular
St Brigid's College,2018,83,77.75,85,58,68.24,Lesmurdie,116.05206640000002,-31.99663035,Non-government,Girls,Catholic
St Joseph's College,2018,83,77.75,36,24,66.67,Albany,117.902192,-34.997944,Non-government,Co-ed,Catholic
Holy Cross College,2018,85,77.6,53,28,52.83,Ellenbrook,115.973832,-31.773097,Non-government,Co-ed,Catholic
Living Waters Lutheran College,2018,86,77.4,65,34,52.31,Warnbro,115.7544169,-32.34307717,Non-government,Co-ed,Lutheran
Cape Naturaliste College,2018,87,77.35,90,22,24.44,Vasse,115.2438891,-33.67693545,Government,Co-ed,Secular
Langford Islamic College,2018,88,77.3,37,28,75.68,Langford,115.9371583,-32.04605574,Non-government,Co-ed,Islam
Como Secondary College,2018,89,76.7,118,77,65.25,Como,115.8711551,-32.00366439,Government,Co-ed,Secular
Kingsway Christian College,2018,90,76.55,104,87,83.65,Darch,115.8374044,-31.81156717,Non-government,Co-ed,Christian
Kearnan College,2018,91,76.5,29,20,68.97,Manjimup,116.1416408,-34.24140477,Non-government,Co-ed,Catholic
Georgiana Molloy Anglican School,2018,92,76.45,57,37,64.91,Busselton,115.3815495,-33.6606425,Non-government,Co-ed,Anglican
Quinns Baptist College,2018,92,76.45,58,34,58.62,Mindarie,115.71019640000002,-31.67618587,Non-government,Co-ed,Baptist
Comet Bay College,2018,94,76.35,215,53,24.65,Secret Harbour,115.7629996,-32.415805199999994,Government,Co-ed,Secular
St Stephen's School - Duncraig,2018,95,76.25,135,108,80.0,Duncraig,115.7806424,-31.8192748,Non-government,Co-ed,Christian
Bunbury Cathedral Grammar School,2018,96,76.1,93,83,89.25,Gelorup,115.63864,-33.404668,Non-government,Co-ed,Christian
Ocean Reef Senior High School,2018,96,76.1,161,66,40.99,Ocean Reef,115.7389749,-31.75879833,Government,Co-ed,Secular
Ellenbrook Secondary College,2018,98,75.85,224,46,20.54,Ellenbrook,115.9642807,-31.78554916,Government,Co-ed,Secular
Albany Senior High School,2018,99,75.5,160,78,48.75,Albany,117.8917733,-35.02044765,Government,Co-ed,Secular
Balcatta Senior High School,2018,99,75.5,81,24,29.63,Balcatta,115.8122429,-31.87551716,Government,Co-ed,Secular
Emmanuel Catholic College,2018,101,75.4,150,39,26.0,Success,115.8400696,-32.12857818,Non-government,Co-ed,Catholic
Warwick Senior High School,2018,102,75.35,75,24,32.0,Warwick,115.8154291,-31.83867535,Government,Co-ed,Secular
Lumen Christi College,2018,103,75.2,121,62,51.24,Martin,116.0120135,-32.06737479,Non-government,Co-ed,Catholic
Baldivis Secondary College,2018,104,75.1,191,44,23.04,Baldivis,115.828418,-32.334099,Government,Co-ed,Secular
John Paul College,2018,104,75.1,71,49,69.01,Kalgoorlie,121.4787154,-30.76410096,Non-government,Co-ed,Catholic
Tranby College,2018,104,75.1,51,30,58.82,Baldivis,115.8002428,-32.3405703,Non-government,Co-ed,Uniting
Narrogin Senior High School,2018,107,74.85,76,22,28.95,Narrogin,117.1914239,-32.93810289,Government,Co-ed,Secular
Morley Senior High School,2018,108,74.7,130,65,50.0,Noranda,115.8836692,-31.8737169,Government,Co-ed,Secular
Mater Dei College,2018,109,74.6,152,81,53.29,Edgewater,115.7765193,-31.76466034,Non-government,Co-ed,Catholic
Mandurah Baptist College,2018,110,73.95,104,71,68.27,Lakelands,115.7601182,-32.47830702,Non-government,Co-ed,Baptist
Belmont City College,2018,111,73.65,90,23,25.56,Belmont,115.9344344,-31.95889136,Government,Co-ed,Secular
Rehoboth Christian College,2018,112,73.55,36,30,83.33,Kenwick,115.977924,-32.03161911,Non-government,Co-ed,Christian
Canning Vale College,2018,113,73.5,207,69,33.33,Canning Vale,115.9227838,-32.08291838,Government,Co-ed,Secular
Kalamunda Senior High School,2018,114,73.0,134,53,39.55,Kalamunda,116.0561861,-31.97788079,Government,Co-ed,Secular
Eastern Hills Senior High School,2018,115,72.5,120,48,40.0,Mount Helena,116.2200892,-31.87396818,Government,Co-ed,Secular
Providence Christian College,2018,116,72.25,57,29,50.88,Southern River,115.93669409999998,-32.09974606,Non-government,Co-ed,Christian
Sevenoaks Senior College,2018,117,71.9,180,40,22.22,Cannington,115.94230520000002,-32.01247925,Government,Co-ed,Secular
Aranmore Catholic College,2018,118,71.7,88,38,43.18,Leederville,115.8431695,-31.92706854,Non-government,Co-ed,Catholic
Eastern Goldfields College,2018,119,71.5,170,43,25.29,Kalgoorlie,121.4753746,-30.75101639,Government,Co-ed,Secular
Geraldton Senior High School,2018,120,71.4,192,32,16.67,Geraldton,114.6117092,-28.78068474,Government,Co-ed,Secular
Mindarie Senior College,2018,121,71.3,397,140,35.26,Mindarie,115.7060496,-31.6769792,Non-government,Co-ed,Catholic
Ballajura Community College,2018,122,71.25,214,86,40.19,Ballajura,115.8934345,-31.84474671,Government,Co-ed,Secular
Safety Bay Senior High School,2018,123,70.4,134,22,16.42,Safety Bay,115.7409641,-32.30328609,Government,Co-ed,Secular
Belridge Secondary College,2018,124,68.45,135,39,28.89,Beldon,115.7631759,-31.77038385,Government,Co-ed,Secular
Kent Street Senior High School,2018,125,68.1,107,50,46.73,East Victoria Park,115.8926602,-31.98570399,Government,Co-ed,Secular
Hedland Senior High School,2018,126,68.0,76,23,30.26,South Hedland,118.598616,-20.39878872,Government,Co-ed,Secular
St Luke's College,2018,126,68.0,53,31,58.49,Karratha,116.8174458,-20.75172597,Non-government,Co-ed,Catholic
Butler College,2018,128,67.65,200,72,36.0,Butler,115.7087008,-31.65166367,Government,Co-ed,Secular
Darling Range Sports College,2018,129,66.7,124,27,21.77,Forrestfield,116.0108597,-31.97566063,Government,Co-ed,Secular
Byford Secondary College,2018,130,66.4,109,46,42.2,Byford,116.0018793,-32.22343162,Government,Co-ed,Secular
Thornlie Senior High School,2018,131,65.6,150,40,26.67,Thornlie,115.959641,-32.06627622,Government,Co-ed,Secular
Atwell College,2018,132,64.9,183,44,24.04,Atwell,115.8641462,-32.14395682,Government,Co-ed,Secular
Warnbro Community High School,2018,133,64.0,121,27,22.31,Warnbro,115.75909640000002,-32.34556923,Government,Co-ed,Secular
Ellenbrook Christian College,2018,134,63.75,38,25,65.79,Ellenbrook,115.959178,-31.786783000000003,Non-government,Co-ed,Christian
Fremantle College,2018,135,63.1,89,25,28.09,Beaconsfield,115.76798,-32.06791,Government,Co-ed,Secular
Broome Senior High School,2018,136,62.75,85,26,30.59,Broome,122.2323264,-17.95614273,Government,Co-ed,Secular
Karratha Senior High School,2018,137,61.9,114,22,19.3,Karratha,116.8241249,-20.74695822,Government,Co-ed,Secular
Halls Head College,2018,138,61.2,172,47,27.33,Halls Head,115.6942404,-32.55444963,Government,Co-ed,Secular
Gilmore College,2018,139,60.95,130,27,20.77,Orelia,115.814803,-32.238266,Government,Co-ed,Secular
Hampton Senior High School,2018,140,60.65,112,37,33.04,Morley,115.92693,-31.89085713,Government,Co-ed,Secular
Lakeland Senior High School,2018,141,60.4,85,21,24.71,South Lake,115.8459137,-32.10905514,Government,Co-ed,Secular
Wanneroo Secondary College,2018,142,59.25,209,55,26.32,Wanneroo,115.8151333,-31.7578766,Government,Co-ed,Secular
Dianella Secondary College,2018,143,56.55,75,21,28.0,Dianella,115.8549027,-31.87818209,Government,Co-ed,Secular
Newton Moore Senior High School,2018,144,55.55,81,29,35.8,South Bunbury,115.6354214,-33.359211,Government,Co-ed,Secular
Northam Senior High School,2018,145,53.7,88,27,30.68,Northam,116.6676491,-31.64725593,Government,Co-ed,Secular
Dalyellup College,2018,146,51.9,70,29,41.43,Dalyellup,115.6257673,-33.40385496,Government,Co-ed,Secular
Rockingham Senior High School,2018,147,47.9,98,22,22.45,Rockingham,115.7355203,-32.28495172,Government,Co-ed,Secular
Western Australian College Of Agriculture - Cunderdin,2018,148,32.5,61,22,36.07,Cunderdin,117.230704,-31.626847,Government,Co-ed,Secular
