School,Year,Rank,Median ATAR,No. eligible Yr 12 students,No. Students with an ATAR,Percentage of students with an ATAR,Suburb,Longitude,Latitude,Sector,Gender,Religion
Perth Modern School,2018,1,97.0,240,236,98.33,Subiaco,115.8363958,-31.94506602,Government,Co-ed,Secular
Carmel School,2018,2,92.6,33,31,93.94,Dianella,115.8620749,-31.89910743,Non-government,Co-ed,Jewish
St Mary's Anglican Girls' School,2018,3,92.1,175,150,85.71,Karrinyup,115.766244,-31.87697112,Non-government,Girls,Anglican
Methodist Ladies' College,2018,4,92.0,139,133,95.68,Claremont,115.7755403,-31.98701169,Non-government,Girls,Methodist
St Hilda's Anglican School for Girls,2018,5,91.65,141,135,95.74,Mosman Park,115.767812,-32.005047,Non-government,Girls,Anglican
Christ Church Grammar School,2018,6,91.6,181,163,90.06,Claremont,115.7769868,-31.98546117,Non-government,Boys,Anglican
Santa Maria College,2018,7,90.1,177,139,78.53,Attadale,115.795823,-32.018614,Non-government,Girls,Catholic
Rossmoyne Senior High School,2018,8,89.45,349,288,82.52,Rossmoyne,115.8705457,-32.04626472,Government,Co-ed,Secular
Hale School,2018,9,89.4,204,187,91.67,Wembley Downs,115.7837828,-31.91232249,Non-government,Boys,Anglican
Wesley College,2018,10,88.8,159,121,76.1,South Perth,115.865934,-31.97995555,Non-government,Boys,Christian
Penrhos College,2018,11,88.15,152,137,90.13,Como,115.8725394,-31.99743072,Non-government,Girls,Uniting
Perth College,2018,12,88.1,137,121,88.32,Mount Lawley,115.8754809,-31.93117853,Non-government,Girls,Catholic
Shenton College,2018,12,88.1,292,216,73.97,Shenton Park,115.803008,-31.95969986,Government,Co-ed,Secular
Scotch College,2018,14,88.0,161,133,82.61,Swanbourne,115.7731945,-31.98113329,Non-government,Boys,Christian
Ursula Frayne Catholic College,2018,15,87.8,107,66,61.68,Victoria Park,115.8990335,-31.97297817,Non-government,Co-ed,Catholic
Willetton Senior High School,2018,15,87.8,367,293,79.84,Willetton,115.8792246,-32.06131317,Government,Co-ed,Secular
All Saints' College,2018,17,87.45,140,128,91.43,Bull Creek,115.867023,-32.04946998,Non-government,Co-ed,Anglican
