Year,Rank,School,Median ATAR,No. eligible Yr 12 students,No. Students with an ATAR,Percentage of students with an ATAR,Longitude,Latitude,Sector,Gender,Religion
2019,32,Carine Senior High School,82.95,198,91,45.96,115.775848,-31.85299735,Government,Co-ed,Secular
2019,32,Mount Lawley Senior High School,82.95,212,152,71.7,115.8697493,-31.92122258,Government,Co-ed,Secular
2019,34,Aquinas College,82.65,168,107,63.69,115.86175379999999,-32.02617519,Non-government,Boys,Catholic
2019,35,Carmel School,82.35,36,33,91.67,115.86207490000001,-31.89910743,Non-government,Co-ed,Jewish
2019,35,St Stephen's School - Carramar,82.35,202,124,61.39,115.78828,-31.71704,Non-government,Co-ed,Christian
2019,37,Christian Brothers' College,82.3,126,66,52.38,115.7533646,-32.05178739,Non-government,Boys,Catholic
2019,37,Peter Moyes Anglican Community School,82.3,126,76,60.32,115.7075982,-31.67541576,Non-government,Co-ed,Anglican
2019,39,Lynwood Senior High School,82.2,277,31,11.19,115.91612959999999,-32.04190909,Government,Co-ed,Secular
2019,40,Australian Islamic College - Kewdale,81.95,108,68,62.96,115.9325273,-31.97999061,Non-government,Co-ed,Islam
2019,40,Corpus Christi College,81.95,211,142,67.3,115.84290559999998,-32.05699614,Non-government,Co-ed,Catholic
2019,40,Duncraig Senior High School,81.95,178,85,47.75,115.767131,-31.82190527,Government,Co-ed,Secular
2019,40,Leeming Senior High School,81.95,160,75,46.88,115.8564902,-32.07467304,Government,Co-ed,Secular
2019,44,Bunbury Catholic College,81.85,170,90,52.94,115.6614239,-33.34342203,Non-government,Co-ed,Catholic
2019,44,John Septimus Roe Anglican Community School,81.85,163,93,57.06,115.85670549999999,-31.85936631,Non-government,Co-ed,Anglican
2019,46,Prendiville Catholic College,81.8,140,78,55.71,115.7396844,-31.75468355,Non-government,Co-ed,Catholic
2019,47,Australind Senior High School,81.35,159,42,26.42,115.7284365,-33.27665965,Government,Co-ed,Secular
2019,47,John Calvin Christian College,81.35,51,36,70.59,116.0066034,-32.14876453,Non-government,Co-ed,Christian
2019,47,Newman College,81.35,182,112,61.54,115.7873551,-31.9231958,Non-government,Co-ed,Catholic
2019,50,Bunbury Cathedral Grammar School,81.05,80,70,87.5,115.63864,-33.404668,Non-government,Co-ed,Christian
2019,51,Langford Islamic College,81.0,29,22,75.86,115.9371583,-32.04605574,Non-government,Co-ed,Islam
2019,52,Comet Bay College,80.9,232,43,18.53,115.7629996,-32.415805199999994,Government,Co-ed,Secular
2019,53,Holy Cross College,80.55,71,31,43.66,115.973832,-31.773096999999996,Non-government,Co-ed,Catholic
2019,54,Georgiana Molloy Anglican School,80.45,89,58,65.17,115.3815495,-33.6606425,Non-government,Co-ed,Anglican
2019,54,South Coast Baptist College,80.45,58,25,43.1,115.75750459999999,-32.31535966,Non-government,Co-ed,Christian
2019,56,Kolbe Catholic College,80.2,180,72,40.0,115.75397269999999,-32.27997384,Non-government,Co-ed,Catholic
2019,57,Frederick Irwin Anglican School,80.1,133,103,77.44,115.75308020000001,-32.50869435,Non-government,Co-ed,Anglican
2019,58,Nagle Catholic College,80.05,144,69,47.92,114.60999309999998,-28.77776964,Non-government,Co-ed,Catholic
2019,59,Ocean Reef Senior High School,79.5,147,58,39.46,115.7389749,-31.75879833,Government,Co-ed,Secular
2019,60,Canning Vale College,79.4,240,82,34.17,115.9227838,-32.08291838,Government,Co-ed,Secular
2019,60,Lesmurdie Senior High School,79.4,136,60,44.12,116.05164309999999,-32.01252075,Government,Co-ed,Secular
2019,62,Lake Joondalup Baptist College,79.3,133,90,67.67,115.7614206,-31.73747504,Non-government,Co-ed,Baptist
2019,63,Melville Senior High School,79.1,208,95,45.67,115.80546129999999,-32.04631125,Government,Co-ed,Secular
2019,64,Ashdale Secondary College,78.9,248,85,34.27,115.84149520000001,-31.81162275,Government,Co-ed,Secular
2019,65,John Forrest Secondary College,78.7,160,52,32.5,115.90088999999999,-31.90416352,Government,Co-ed,Secular
2019,66,Carey Baptist College,78.6,122,74,60.66,115.9355423,-32.11159158,Non-government,Co-ed,Christian
2019,66,Seton Catholic College,78.6,177,94,53.11,115.7933707,-32.07269529,Non-government,Co-ed,Catholic
2019,68,Emmanuel Catholic College,78.55,139,54,38.85,115.84006959999999,-32.12857818,Non-government,Co-ed,Catholic
2019,68,Esperance Senior High School,78.55,114,46,40.35,121.86825800000001,-33.86017872,Government,Co-ed,Secular
2019,68,Guildford Grammar School,78.55,153,116,75.82,115.98189199999999,-31.894036,Non-government,Co-ed,Anglican
2019,71,Geraldton Grammar School,78.15,44,31,70.45,114.621025,-28.76195313,Non-government,Co-ed,Anglican
2019,72,Margaret River Senior High School,77.65,134,56,41.79,115.07467140000001,-33.95431827,Government,Co-ed,Secular
2019,73,Eastern Goldfields College,77.4,167,45,26.95,121.47537460000001,-30.75101639,Government,Co-ed,Secular
2019,73,St Mark's Anglican Community School,77.4,155,111,71.61,115.74287279999999,-31.79848743,Non-government,Co-ed,Anglican
2019,75,Mandurah Baptist College,77.0,101,62,61.39,115.76011820000001,-32.47830702,Non-government,Co-ed,Baptist
2019,75,Mandurah Catholic College,77.0,159,64,40.25,115.73828600000002,-32.54895945,Non-government,Co-ed,Catholic
2019,77,Manjimup Senior High School,76.7,99,30,30.3,116.133228,-34.233841999999996,Government,Co-ed,Secular
2019,78,Cape Naturaliste College,76.65,100,37,37.0,115.24388909999999,-33.67693545,Government,Co-ed,Secular
