School,Year,Rank,Median ATAR,No. eligible Yr 12 students,No. Students with an ATAR,Percentage of students with an ATAR,Suburb,Longitude,Latitude,Sector,Gender,Religion
Irene McCormack Catholic College,2020,120,66.2,104,47,45.19,Butler,115.709449,-31.65406275,Non-government,Co-ed,Catholic
Southern River College,2020,121,66.0,113,23,20.35,Gosnells,115.979918,-32.08559751,Government,Co-ed,Secular
Lumen Christi College,2020,122,65.9,157,46,29.3,Martin,116.0120135,-32.06737479,Non-government,Co-ed,Catholic
Northam Senior High School,2020,123,65.65,101,23,22.77,Northam,116.6676491,-31.64725593,Government,Co-ed,Secular
Narrogin Senior High School,2020,124,65.45,90,33,36.67,Narrogin,117.1914239,-32.93810289,Government,Co-ed,Secular
Thornlie Senior High School,2020,125,65.35,146,26,17.81,Thornlie,115.959641,-32.06627622,Government,Co-ed,Secular
John Tonkin College,2020,126,64.6,119,21,17.65,Mandurah,115.756358,-32.51758689,Government,Co-ed,Secular
Geraldton Senior High School,2020,127,64.5,189,27,14.29,Geraldton,114.6117092,-28.78068474,Government,Co-ed,Secular
Fremantle College,2020,128,64.25,91,28,30.77,Beaconsfield,115.76798,-32.06791,Government,Co-ed,Secular
Atwell College,2020,129,64.05,170,49,28.82,Atwell,115.8641462,-32.14395682,Government,Co-ed,Secular
Governor Stirling Senior High School,2020,130,63.8,116,50,43.1,Woodbridge,115.9888056,-31.88893826,Government,Co-ed,Secular
Wanneroo Secondary College,2020,131,63.35,148,27,18.24,Wanneroo,115.8151333,-31.7578766,Government,Co-ed,Secular
Karratha Senior High School,2020,132,62.8,118,26,22.03,Karratha,116.8241249,-20.74695822,Government,Co-ed,Secular
Ballajura Community College,2020,133,62.5,221,80,36.2,Ballajura,115.8934345,-31.84474671,Government,Co-ed,Secular
Baldivis Secondary College,2020,134,60.45,205,41,20.0,Baldivis,115.828418,-32.334099,Government,Co-ed,Secular
Balcatta Senior High School,2020,135,60.4,76,20,26.32,Balcatta,115.8122429,-31.87551716,Government,Co-ed,Secular
Safety Bay Senior High School,2020,136,58.75,115,23,20.0,Safety Bay,115.7409641,-32.30328609,Government,Co-ed,Secular
Darling Range Sports College,2020,137,52.4,129,44,34.11,Forrestfield,116.0108597,-31.97566063,Government,Co-ed,Secular
Gilmore College,2020,138,52.25,141,23,16.31,Orelia,115.814803,-32.238266,Government,Co-ed,Secular
Cecil Andrews College,2020,139,49.85,77,20,25.97,Armadale,115.9918834,-32.14118727,Government,Co-ed,Secular
