School,Year,Rank,Median ATAR,No. eligible Yr 12 students,No. Students with an ATAR,Percentage of students with an ATAR,Suburb,Longitude,Latitude,Sector,Gender,Religion
Chisholm Catholic College,2016,36,83.7,274,192,70.07,Bedford,115.90056470000002,-31.91151257,Non-government,Co-ed,Catholic
Aquinas College,2016,37,83.4,184,135,73.37,Salter Point,115.8617538,-32.02617519,Non-government,Boys,Catholic
St Stephen's School - Duncraig,2016,38,83.15,145,118,81.38,Duncraig,115.7806424,-31.8192748,Non-government,Co-ed,Christian
St Brigid's College,2016,39,82.75,98,62,63.27,Lesmurdie,116.05206640000002,-31.99663035,Non-government,Girls,Catholic
Carine Senior High School,2016,40,82.45,241,121,50.21,Carine,115.775848,-31.85299735,Government,Co-ed,Secular
Great Southern Grammar,2016,41,82.25,92,76,82.61,Lower Kalgan,117.9707332,-34.94755539,Non-government,Co-ed,Christian
John Paul College,2016,41,82.25,72,53,73.61,Kalgoorlie,121.4787154,-30.76410096,Non-government,Co-ed,Catholic
Kennedy Baptist College,2016,41,82.25,202,131,64.85,Murdoch,115.829647,-32.073356,Non-government,Co-ed,Baptist
Carey Baptist College,2016,44,82.2,140,96,68.57,Harrisdale,115.9355423,-32.11159158,Non-government,Co-ed,Christian
Woodvale Secondary College,2016,45,82.15,268,121,45.15,Woodvale,115.7994712,-31.79154969,Government,Co-ed,Secular
Bunbury Cathedral Grammar School,2016,46,82.0,107,99,92.52,Gelorup,115.63864,-33.404668,Non-government,Co-ed,Christian
Australian Islamic College - Dianella,2016,47,81.85,86,68,79.07,Dianella,115.8744467,-31.90293601,Non-government,Co-ed,Islam
Mount Lawley Senior High School,2016,48,81.65,233,171,73.39,Mount Lawley,115.8697493,-31.92122258,Government,Co-ed,Secular
Wesley College,2016,49,80.85,155,139,89.68,South Perth,115.865934,-31.97995555,Non-government,Boys,Christian
Christian Brothers' College,2016,50,80.7,128,78,60.94,Fremantle,115.7533646,-32.05178739,Non-government,Boys,Catholic
Como Secondary College,2016,51,80.6,95,56,58.95,Como,115.8711551,-32.00366439,Government,Co-ed,Secular
Melville Senior High School,2016,52,80.55,141,57,40.43,Melville,115.8054613,-32.04631125,Government,Co-ed,Secular
Sevenoaks Senior College,2016,53,80.45,140,31,22.14,Cannington,115.94230520000002,-32.01247925,Government,Co-ed,Secular
Cape Naturaliste College,2016,54,80.3,79,34,43.04,Vasse,115.2438891,-33.67693545,Government,Co-ed,Secular
Tranby College,2016,55,80.2,83,46,55.42,Baldivis,115.8002428,-32.3405703,Non-government,Co-ed,Uniting
Manea Senior College,2016,56,80.05,227,83,36.56,Bunbury,115.6567975,-33.36775659,Government,Co-ed,Secular
Swan Christian College,2016,56,80.05,182,74,40.66,Middle Swan,116.0117533,-31.85830659,Non-government,Co-ed,Christian
Servite College,2016,58,79.9,150,80,53.33,Tuart Hill,115.8336415,-31.90270449,Non-government,Co-ed,Catholic
St Mark's Anglican Community School,2016,59,79.8,171,140,81.87,Hillarys,115.7428728,-31.79848743,Non-government,Co-ed,Anglican
Kingsway Christian College,2016,60,79.65,87,75,86.21,Darch,115.8374044,-31.81156717,Non-government,Co-ed,Christian
Manjimup Senior High School,2016,61,79.55,104,35,33.65,Manjimup,116.133228,-34.233842,Government,Co-ed,Secular
Nagle Catholic College,2016,62,79.4,151,96,63.58,Geraldton,114.60999309999998,-28.77776964,Non-government,Co-ed,Catholic
Prendiville Catholic College,2016,63,79.3,159,121,76.1,Ocean Reef,115.7396844,-31.75468355,Non-government,Co-ed,Catholic
Leeming Senior High School,2016,64,79.1,130,64,49.23,Leeming,115.8564902,-32.07467304,Government,Co-ed,Secular
Esperance Senior High School,2016,65,79.05,130,60,46.15,Esperance,121.868258,-33.86017872,Government,Co-ed,Secular
Duncraig Senior High School,2016,66,78.95,206,107,51.94,Duncraig,115.767131,-31.82190527,Government,Co-ed,Secular
Rehoboth Christian College,2016,67,78.85,37,22,59.46,Kenwick,115.977924,-32.03161911,Non-government,Co-ed,Christian
Kolbe Catholic College,2016,68,78.8,173,99,57.23,Rockingham,115.7539727,-32.27997384,Non-government,Co-ed,Catholic
Peter Moyes Anglican Community School,2016,69,78.45,133,106,79.7,Mindarie,115.7075982,-31.67541576,Non-government,Co-ed,Anglican
Balcatta Senior High School,2016,70,78.2,89,30,33.71,Balcatta,115.8122429,-31.87551716,Government,Co-ed,Secular
Providence Christian College,2016,70,78.2,44,23,52.27,Southern River,115.93669409999998,-32.09974606,Non-government,Co-ed,Christian
Carmel Adventist College,2016,72,78.15,36,26,72.22,Carmel,116.0940371,-32.01473096,Non-government,Co-ed,Adventist
Albany Senior High School,2016,73,78.05,149,75,50.34,Albany,117.8917733,-35.02044765,Government,Co-ed,Secular
Swan Valley Anglican Community School,2016,74,77.65,45,31,68.89,Aveley,115.98545159999998,-31.79434482,Non-government,Co-ed,Anglican
Helena College,2016,75,77.2,69,60,86.96,Glen Forrest,116.09144,-31.90747,Government,Co-ed,Secular
Mazenod College,2016,76,76.95,124,83,66.94,Lesmurdie,116.0388409,-32.006679,Non-government,Boys,Catholic
Bunbury Senior High School,2016,77,76.75,106,39,36.79,Bunbury,115.6326077,-33.32746917,Government,Co-ed,Secular
Kelmscott Senior High School,2016,77,76.75,195,69,35.38,Kelmscott,116.0110534,-32.12147619,Government,Co-ed,Secular
Georgiana Molloy Anglican School,2016,79,76.35,69,46,66.67,Busselton,115.3815495,-33.6606425,Non-government,Co-ed,Anglican
Frederick Irwin Anglican School,2016,80,76.3,135,119,88.15,Mandurah,115.7530802,-32.50869435,Non-government,Co-ed,Anglican
Greenwood College,2016,81,75.9,118,28,23.73,Greenwood,115.7914439,-31.82628484,Government,Co-ed,Secular
Northam Senior High School,2016,82,75.7,101,27,26.73,Northam,116.6676491,-31.64725593,Government,Co-ed,Secular
Lynwood Senior High School,2016,83,75.6,255,52,20.39,Parkwood,115.9161296,-32.04190909,Government,Co-ed,Secular
John Septimus Roe Anglican Community School,2016,84,75.3,162,118,72.84,Mirrabooka,115.8567055,-31.85936631,Non-government,Co-ed,Anglican
Mater Dei College,2016,85,75.25,157,99,63.06,Edgewater,115.7765193,-31.76466034,Non-government,Co-ed,Catholic
Mercy College,2016,85,75.25,173,93,53.76,Koondoola,115.8575544,-31.84725114,Non-government,Co-ed,Catholic
Denmark Senior High School,2016,87,75.1,54,31,57.41,Denmark,117.3645842,-34.95741408,Government,Co-ed,Secular
La Salle College,2016,88,74.95,207,97,46.86,Middle Swan,116.004411,-31.87856979,Non-government,Co-ed,Catholic
Mandurah Catholic College,2016,88,74.95,160,82,51.25,Mandurah,115.73828600000002,-32.54895945,Non-government,Co-ed,Catholic
Mandurah Baptist College,2016,90,74.6,90,62,68.89,Lakelands,115.7601182,-32.47830702,Non-government,Co-ed,Baptist
Emmanuel Catholic College,2016,91,74.4,126,73,57.94,Success,115.8400696,-32.12857818,Non-government,Co-ed,Catholic
Seton Catholic College,2016,92,74.35,144,86,59.72,Samson,115.7933707,-32.07269529,Non-government,Co-ed,Catholic
Bunbury Catholic College,2016,93,74.05,164,97,59.15,Bunbury,115.6614239,-33.34342203,Non-government,Co-ed,Catholic
Lumen Christi College,2016,94,74.0,129,58,44.96,Martin,116.0120135,-32.06737479,Non-government,Co-ed,Catholic
Comet Bay College,2016,95,73.6,233,59,25.32,Secret Harbour,115.7629996,-32.415805199999994,Government,Co-ed,Secular
Living Waters Lutheran College,2016,95,73.6,80,43,53.75,Warnbro,115.7544169,-32.34307717,Non-government,Co-ed,Lutheran
Australind Senior High School,2016,97,73.55,147,61,41.5,Australind,115.7284365,-33.27665965,Government,Co-ed,Secular
Morley Senior High School,2016,97,73.55,125,62,49.6,Noranda,115.8836692,-31.8737169,Government,Co-ed,Secular
Geraldton Grammar School,2016,99,73.45,43,38,88.37,Geraldton,114.621025,-28.76195313,Non-government,Co-ed,Anglican
Irene McCormack Catholic College,2016,100,73.4,132,67,50.76,Butler,115.709449,-31.65406275,Non-government,Co-ed,Catholic
Ocean Reef Senior High School,2016,101,73.3,218,88,40.37,Ocean Reef,115.7389749,-31.75879833,Government,Co-ed,Secular
Lesmurdie Senior High School,2016,102,73.2,157,88,56.05,Lesmurdie,116.0516431,-32.01252075,Government,Co-ed,Secular
Broome Senior High School,2016,103,73.1,86,36,41.86,Broome,122.2323264,-17.95614273,Government,Co-ed,Secular
Busselton Senior High School,2016,104,73.0,76,21,27.63,Busselton,115.3250971,-33.65757720000001,Government,Co-ed,Secular
Ellenbrook Secondary College,2016,105,72.35,173,55,31.79,Ellenbrook,115.9642807,-31.78554916,Government,Co-ed,Secular
Ashdale Secondary College,2016,106,71.85,207,87,42.03,Darch,115.8414952,-31.81162275,Government,Co-ed,Secular
Geraldton Senior High School,2016,107,71.8,227,54,23.79,Geraldton,114.6117092,-28.78068474,Government,Co-ed,Secular
Langford Islamic College,2016,108,71.7,31,22,70.97,Langford,115.9371583,-32.04605574,Non-government,Co-ed,Islam
John Forrest Secondary College,2016,109,71.55,140,52,37.14,Morley,115.90089,-31.90416352,Government,Co-ed,Secular
Darling Range Sports College,2016,110,71.2,120,28,23.33,Forrestfield,116.0108597,-31.97566063,Government,Co-ed,Secular
Kalamunda Senior High School,2016,110,71.2,140,62,44.29,Kalamunda,116.0561861,-31.97788079,Government,Co-ed,Secular
Dalyellup College,2016,112,70.7,88,34,38.64,Dalyellup,115.6257673,-33.40385496,Government,Co-ed,Secular
Canning Vale College,2016,113,70.2,218,94,43.12,Canning Vale,115.9227838,-32.08291838,Government,Co-ed,Secular
Collie Senior High School,2016,114,69.9,63,20,31.75,Collie,116.156535,-33.36307,Government,Co-ed,Secular
Mindarie Senior College,2016,115,69.45,425,151,35.53,Mindarie,115.7060496,-31.6769792,Non-government,Co-ed,Catholic
Karratha Senior High School,2016,116,69.4,83,21,25.3,Karratha,116.8241249,-20.74695822,Government,Co-ed,Secular
Grace Christian School,2016,117,68.85,30,20,66.67,Bunbury,115.6810759,-33.33832794,Non-government,Co-ed,Christian
John Wollaston Anglican Community School,2016,117,68.85,73,39,53.42,Camillo,116.007834,-32.104726,Non-government,Co-ed,Anglican
Belridge Secondary College,2016,119,68.75,129,42,32.56,Beldon,115.7631759,-31.77038385,Government,Co-ed,Secular
Hedland Senior High School,2016,120,68.5,88,24,27.27,South Hedland,118.598616,-20.39878872,Government,Co-ed,Secular
Hampton Senior High School,2016,121,67.75,95,25,26.32,Morley,115.92693,-31.89085713,Government,Co-ed,Secular
St Luke's College,2016,122,67.7,54,30,55.56,Karratha,116.8174458,-20.75172597,Non-government,Co-ed,Catholic
Safety Bay Senior High School,2016,123,67.65,146,23,15.75,Safety Bay,115.7409641,-32.30328609,Government,Co-ed,Secular
Eastern Hills Senior High School,2016,124,66.95,114,41,35.96,Mount Helena,116.2200892,-31.87396818,Government,Co-ed,Secular
Narrogin Senior High School,2016,125,66.85,87,32,36.78,Narrogin,117.1914239,-32.93810289,Government,Co-ed,Secular
Kent Street Senior High School,2016,126,66.35,124,62,50.0,East Victoria Park,115.8926602,-31.98570399,Government,Co-ed,Secular
Aranmore Catholic College,2016,127,65.7,83,45,54.22,Leederville,115.8431695,-31.92706854,Non-government,Co-ed,Catholic
Wanneroo Secondary College,2016,128,65.25,143,47,32.87,Wanneroo,115.8151333,-31.7578766,Government,Co-ed,Secular
Ballajura Community College,2016,129,65.1,262,118,45.04,Ballajura,115.8934345,-31.84474671,Government,Co-ed,Secular
Woodthorpe School,2016,130,64.35,38,24,63.16,Willetton,115.90172,-32.056540000000005,Non-government,Co-ed,Brethren Christian
Quinns Baptist College,2016,131,63.65,70,46,65.71,Mindarie,115.71019640000002,-31.67618587,Non-government,Co-ed,Baptist
Clarkson Community High School,2016,132,63.15,106,24,22.64,Clarkson,115.7267272,-31.67744562,Government,Co-ed,Secular
Atwell College,2016,133,62.9,159,43,27.04,Atwell,115.8641462,-32.14395682,Government,Co-ed,Secular
Halls Head College,2016,134,62.3,134,33,24.63,Halls Head,115.6942404,-32.55444963,Government,Co-ed,Secular
Rockingham Senior High School,2016,135,61.5,110,26,23.64,Rockingham,115.7355203,-32.28495172,Government,Co-ed,Secular
Ellenbrook Christian College,2016,136,60.75,46,29,63.04,Ellenbrook,115.959178,-31.786783000000003,Non-government,Co-ed,Christian
Pinjarra Senior High School,2016,137,60.6,91,20,21.98,Pinjarra,115.8726662,-32.63343063,Government,Co-ed,Secular
John Tonkin College,2016,138,59.65,113,30,26.55,Mandurah,115.756358,-32.51758689,Government,Co-ed,Secular
Thornlie Senior High School,2016,139,58.45,125,35,28.0,Thornlie,115.959641,-32.06627622,Government,Co-ed,Secular
Lakeland Senior High School,2016,140,57.7,89,27,30.34,South Lake,115.8459137,-32.10905514,Government,Co-ed,Secular
Newton Moore Senior High School,2016,141,56.95,90,35,38.89,South Bunbury,115.6354214,-33.359211,Government,Co-ed,Secular
Foundation Christian College,2016,142,50.65,35,26,74.29,Greenfields,115.7622888,-32.52931617,Non-government,Co-ed,Christian
Warnbro Community High School,2016,143,45.3,171,48,28.07,Warnbro,115.75909640000002,-32.34556923,Government,Co-ed,Secular
