School,Year,Rank,Median ATAR,No. eligible Yr 12 students,No. Students with an ATAR,Percentage of students with an ATAR,Suburb,Longitude,Latitude,Sector,Gender,Religion
Perth Modern School,2016,1,95.55,222,220,99.1,Subiaco,115.8363958,-31.94506602,Government,Co-ed,Secular
Presbyterian Ladies' College,2016,2,92.9,122,110,90.16,Peppermint Grove,115.764906,-31.993592,Non-government,Girls,Uniting
Penrhos College,2016,3,92.65,145,123,84.83,Como,115.8725394,-31.99743072,Non-government,Girls,Uniting
Christ Church Grammar School,2016,4,92.5,188,171,90.96,Claremont,115.7769868,-31.98546117,Non-government,Boys,Anglican
Santa Maria College,2016,5,91.85,189,151,79.89,Attadale,115.795823,-32.018614,Non-government,Girls,Catholic
St Hilda's Anglican School for Girls,2016,6,91.4,135,127,94.07,Mosman Park,115.767812,-32.005047,Non-government,Girls,Anglican
Perth College,2016,7,90.55,140,127,90.71,Mount Lawley,115.8754809,-31.93117853,Non-government,Girls,Catholic
St Mary's Anglican Girls' School,2016,8,90.4,174,156,89.66,Karrinyup,115.766244,-31.87697112,Non-government,Girls,Anglican
Methodist Ladies' College,2016,9,90.3,102,100,98.04,Claremont,115.7755403,-31.98701169,Non-government,Girls,Methodist
Shenton College,2016,10,90.0,287,210,73.17,Shenton Park,115.803008,-31.95969986,Government,Co-ed,Secular
Hale School,2016,11,89.8,198,181,91.41,Wembley Downs,115.7837828,-31.91232249,Non-government,Boys,Anglican
Carmel School,2016,12,89.35,24,24,100.0,Dianella,115.8620749,-31.89910743,Non-government,Co-ed,Jewish
John XXIII College,2016,13,88.6,157,139,88.54,Mount Claremont,115.7847988,-31.9599189,Non-government,Co-ed,Catholic
Willetton Senior High School,2016,14,88.05,389,289,74.29,Willetton,115.8792246,-32.06131317,Government,Co-ed,Secular
Rossmoyne Senior High School,2016,15,87.35,366,310,84.7,Rossmoyne,115.8705457,-32.04626472,Government,Co-ed,Secular
Scotch College,2016,16,87.3,161,138,85.71,Swanbourne,115.7731945,-31.98113329,Non-government,Boys,Christian
Iona Presentation College,2016,17,86.7,150,109,72.67,Mosman Park,115.76773490000002,-32.00852636,Non-government,Girls,Catholic
Margaret River Senior High School,2016,18,86.4,108,48,44.44,Margaret River,115.0746714,-33.95431827,Government,Co-ed,Secular
Corpus Christi College,2016,19,86.35,210,134,63.81,Bateman,115.84290559999998,-32.05699614,Non-government,Co-ed,Catholic
Sacred Heart College,2016,19,86.35,213,161,75.59,Sorrento,115.74657,-31.82737166,Non-government,Co-ed,Catholic
Trinity College,2016,21,85.7,194,157,80.93,East Perth,115.88257659999998,-31.96013472,Non-government,Boys,Catholic
Lake Joondalup Baptist College,2016,22,85.4,140,100,71.43,Joondalup,115.7614206,-31.73747504,Non-government,Co-ed,Baptist
Mercedes College,2016,23,85.35,153,129,84.31,Perth,115.8670832,-31.95623304,Non-government,Girls,Catholic
Applecross Senior High School,2016,24,85.1,237,176,74.26,Ardross,115.83509,-32.029376,Government,Co-ed,Secular
St Stephen's School - Carramar,2016,24,85.1,102,67,65.69,Carramar,115.78828,-31.71704,Non-government,Co-ed,Christian
All Saints' College,2016,26,85.0,123,108,87.8,Bull Creek,115.867023,-32.04946998,Non-government,Co-ed,Anglican
Guildford Grammar School,2016,27,84.85,111,84,75.68,Guildford,115.981892,-31.894036,Non-government,Co-ed,Anglican
Churchlands Senior High School,2016,28,84.7,346,271,78.32,Churchlands,115.7899902,-31.91728978,Government,Co-ed,Secular
St Mary Mackillop College,2016,29,84.65,110,66,60.0,Busselton,115.3302509,-33.66260748,Non-government,Co-ed,Catholic
St Norbert College,2016,30,84.55,141,64,45.39,Queens Park,115.9403443,-32.00436432,Non-government,Co-ed,Catholic
Newman College,2016,31,84.5,190,142,74.74,Churchlands,115.7873551,-31.9231958,Non-government,Co-ed,Catholic
Ursula Frayne Catholic College,2016,32,84.45,119,84,70.59,Victoria Park,115.8990335,-31.97297817,Non-government,Co-ed,Catholic
John Calvin Christian College,2016,33,84.35,51,38,74.51,Armadale,116.0066034,-32.14876453,Non-government,Co-ed,Christian
John Curtin College of the Arts,2016,34,84.25,200,154,77.0,Fremantle,115.7562238,-32.04863279,Government,Co-ed,Secular
Eastern Goldfields College,2016,35,83.8,151,32,21.19,Kalgoorlie,121.4753746,-30.75101639,Government,Co-ed,Secular
